,CD_ID,P_Democrat,P_Republican,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,Health_insurance_coverage,Turn_Out,Approval_Rate_Predecessor,Vote_2012,Vote_2016,Vote_2020
157,IN-04,30.2,64.3,768025,380748,37.2,44015,679224,31603,24154,1826,539,3454,844,37356,719134,43110,173542,148588,49717,89562,384210,389,59033,29905,85790,10069,0.4274,39.0,376298,5556,26712,72729,41452,20886,16611,42773,46282,24096,12300,5316,803,"Congressional District 4 (116th Congress), Indiana",18,04,Indiana,IN,93.1,0.4688657894,39.36666667,279662.0,302381.0,326945.6313728716
158,IN-05,41.3,53.1,784462,405350,38.2,40048,651421,67551,31488,1022,339,4307,96,20566,726545,52617,188270,164311,35708,150521,412891,119,70977,36421,72671,30131,0.4823,40.2,402866,2530,18854,51770,41139,18128,36019,36643,62934,21876,15427,7284,997,"Congressional District 5 (116th Congress), Indiana",18,05,Indiana,IN,94.1,0.4688657894,39.36666667,342165.0,363624.0,386428.8088378414
159,IN-06,27.4,67.7,719771,364520,39.5,46230,668943,20547,12177,731,0,1146,22,13990,693763,22349,157601,140232,52241,68064,348513,729,52777,28234,100989,7770,0.4240,39.4,339046,7389,20337,72495,35634,17125,17300,28691,52472,21464,12612,3949,762,"Congressional District 6 (116th Congress), Indiana",18,06,Indiana,IN,92.6,0.4688657894,39.36666667,285361.0,301524.0,318602.4809837364
160,IN-07,59,36.2,760466,392538,33.9,39173,438167,235061,24608,1900,1115,4268,3131,64790,679250,72690,194077,96785,79231,83225,382066,44,44558,27457,138008,5914,0.4593,37.4,358162,842,21557,44122,46921,30131,21273,24994,46561,31355,14212,5169,851,"Congressional District 7 (116th Congress), Indiana",18,07,Indiana,IN,88.2,0.4688657894,39.36666667,262188.0,264389.0,266608.4768219751
161,IN-08,30.9,64.6,718591,361917,39.9,47049,659502,34314,5948,407,363,499,70,12965,700059,15719,159855,140889,48927,70886,352097,965,52785,28485,91983,8530,0.4488,40.0,340226,9578,18737,73091,36364,18669,12388,26678,50184,22498,14931,3528,731,"Congressional District 8 (116th Congress), Indiana",18,08,Indiana,IN,92.6,0.4688657894,39.36666667,294054.0,300787.0,307674.1665442402
162,IN-09,34.2,61.1,755264,385859,37.6,45571,687866,22072,18873,1234,510,1522,0,18964,721070,29466,164208,151118,51457,87169,382522,75,56522,30078,92908,10577,0.4357,38.7,371377,3542,27138,63436,39435,18324,21368,40611,49751,32124,17632,4461,836,"Congressional District 9 (116th Congress), Indiana",18,09,Indiana,IN,92.5,0.4688657894,39.36666667,303390.0,324509.0,347098.0951283826
163,KS-01,24.3,69.3,698323,345031,36.0,44958,622552,22787,11136,3875,1653,6144,416,90773,639177,52340,166514,138025,49683,73822,348483,694,50240,26870,85116,7149,0.4352,37.6,342860,26002,21008,46424,33868,18087,15737,43142,42719,21398,19718,5648,740,"Congressional District 1 (116th Congress), Kansas",20,01,Kansas,KS,91.8,0.5115109424,39.36666667,263026.967137768,264764.124156465,266512.75419840537
164,KS-02,37.4,55.8,713845,359352,37.9,52216,617745,34044,11689,11963,473,2368,68,37715,682477,23992,161229,138779,35258,85361,351589,751,52133,27324,100943,9666,0.4556,38.5,343912,9766,24466,40113,36679,19406,17470,40959,51268,21848,21364,4664,817,"Congressional District 2 (116th Congress), Kansas",20,02,Kansas,KS,92.3,0.5115109424,39.36666667,294487.032862232,295656.8758435349,296831.36599923996
165,KS-03,47.2,46,775243,393150,37.1,35050,619413,62214,38097,2399,573,1777,570,76838,685961,81202,194796,157657,41278,153543,422727,362,76385,38691,61088,30789,0.4701,39.8,409361,2465,26053,31942,42891,23008,43006,35716,54303,22652,13365,9913,1058,"Congressional District 3 (116th Congress), Kansas",20,03,Kansas,KS,91.1,0.5115109424,39.36666667,330486.0,341967.0,353846.84703436756
166,KS-04,33,60.2,724099,364232,37.1,46735,587113,52096,21522,8592,1159,2504,56,79144,665977,51828,182612,136279,45814,89642,359540,632,55392,29303,91028,10768,0.4434,39.6,346417,7893,21941,58690,35383,16614,16290,34643,51487,24335,14013,5088,769,"Congressional District 4 (116th Congress), Kansas",20,04,Kansas,KS,89.8,0.5115109424,39.36666667,267116.0,274547.0,282184.72577082616
167,KY-01,23.9,72.4,721124,365590,40.6,45602,641142,49665,4625,1301,160,2242,175,13899,702553,12011,162061,145583,67571,53017,308092,592,44309,24860,123113,7538,0.4916,39.7,293237,15242,18625,52515,32740,15649,10209,25366,43258,19009,13850,4253,680,"Congressional District 1 (116th Congress), Kentucky",21,01,Kentucky,KY,94.3,0.4856621262,39.36666667,296790.5480681286,310299.0,324422.2904932187
168,KY-02,27.6,67.5,769850,387580,38.6,57996,685076,35956,13122,2452,302,4320,500,12748,734779,26605,178326,145243,65827,63088,357430,662,50792,26218,116657,8746,0.4624,39.0,348344,6868,25844,60485,40272,22238,16745,29727,46726,25051,16563,4822,764,"Congressional District 2 (116th Congress), Kentucky",21,02,Kentucky,KY,94.4,0.4856621262,39.36666667,294280.2974188353,324512.0,357849.4349355643
