,CD_ID,P_Democrat,P_Republican,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,Health_insurance_coverage,Turn_Out,Approval_Rate_Predecessor,Vote_2012,Vote_2016,Vote_2020
200,MI-03,42.2,51.6,749975,374985,36.9,38884,627466,61116,15348,2878,761,6732,1088,35495,704943,38427,180486,144857,38515,108485,386446,62,60652,30646,89498,18268,0.4657,38.7,371319,5116,22755,70901,41804,14729,22745,31333,54592,22665,9335,5257,869,"Congressional District 3 (116th Congress), Michigan",26,03,Michigan,MI,94.8,0.5777812337,39.36666667,334438.20498913,349489.7183870561,365218.63063531776
201,MI-04,34.7,59.5,704592,352897,41.6,45342,659539,13239,7785,5200,869,1267,150,17979,685802,14742,143004,144034,43862,63205,319466,436,51240,25651,94853,8741,0.4483,39.1,309795,8367,22088,49816,36140,13234,13839,32092,48335,23895,12474,3061,723,"Congressional District 4 (116th Congress), Michigan",26,04,Michigan,MI,94.1,0.5777812337,39.36666667,321414.676254724,328239.9406709575,335210.1400817418
202,MI-05,49.7,45.5,671115,344943,41.8,42403,519531,117802,5568,2293,206,1458,438,27715,655067,13151,146310,115800,45212,60581,314368,324,46649,26291,124544,7387,0.4634,40.8,292423,2473,16947,50259,35932,14099,12670,20570,52875,26796,8715,3612,731,"Congressional District 5 (116th Congress), Michigan",26,05,Michigan,MI,95.1,0.5777812337,39.36666667,338966.086957887,327573.3082944874,316563.44524025125
203,MI-06,42.9,51.3,721736,365055,38.9,39088,607696,58328,11341,3136,1614,1850,545,37300,683030,33453,161973,139771,44881,87245,364198,742,55442,28620,98392,11527,0.4505,39.1,350053,5456,20545,76361,35893,16609,18099,31515,47194,29206,8578,4393,767,"Congressional District 6 (116th Congress), Michigan",26,06,Michigan,MI,94.2,0.5777812337,39.36666667,325499.923154148,331985.5219434734,338600.34654412465
204,MI-07,38.7,55.7,706811,352970,42.0,42680,644695,28719,7418,1947,829,3272,213,22996,682948,19071,151281,143751,37176,82299,337313,570,60727,30649,70694,12001,0.4412,41.0,323142,4247,18598,64960,32746,17881,13483,30006,49077,21175,13263,4308,827,"Congressional District 7 (116th Congress), Michigan",26,07,Michigan,MI,94.9,0.5777812337,39.36666667,331820.213238629,340357.7962668328,349115.04741968773
205,MI-08,43.9,50.6,749011,380391,38.1,34522,635322,43581,37707,2612,1718,4899,0,28587,682018,60494,165076,148533,25970,117489,386846,126,72654,32867,72021,25319,0.4552,39.1,376603,1944,18034,64040,38720,11965,21351,40382,47955,31189,17160,4528,938,"Congressional District 8 (116th Congress), Michigan",26,08,Michigan,MI,96.0,0.5777812337,39.36666667,358795.0,374968.0,391870.01219080534
206,MI-09,51.5,43.7,715259,365749,39.6,33984,557129,103803,30799,2686,1267,2471,225,10439,632063,77178,138458,125928,54084,98059,390172,265,61115,31601,91327,16225,0.4613,38.5,371545,512,14811,72870,34022,15625,25550,21915,56444,31670,13324,5397,951,"Congressional District 9 (116th Congress), Michigan",26,09,Michigan,MI,94.8,0.5777812337,39.36666667,349021.0,355751.0,362610.7712745078
207,MI-10,31.6,63.8,722722,363447,43.5,41475,664624,21764,14989,1742,664,1642,0,18908,669774,48772,155189,154473,43513,77786,365101,288,64378,31225,71361,14884,0.4336,42.5,348999,4943,26711,80705,40314,12611,16972,23442,47415,24835,12997,3085,832,"Congressional District 10 (116th Congress), Michigan",26,10,Michigan,MI,94.5,0.5777812337,39.36666667,339317.913042113,357784.6917055126,377256.4922115422
208,MI-11,45.3,49.7,733920,372545,41.7,29048,586668,37402,80740,1773,327,2489,132,16916,617057,110071,156811,159366,24101,150278,394851,91,84954,41013,44526,35639,0.4510,42.4,384149,543,19233,83486,35516,12584,28783,27643,50065,23221,10238,5841,1070,"Congressional District 11 (116th Congress), Michigan",26,11,Michigan,MI,96.1,0.5777812337,39.36666667,380884.0,390926.0,401232.7571544092
209,MI-12,60.8,34.5,709832,356823,35.3,29394,549015,80720,42832,2273,916,3044,1134,31166,609959,91120,146217,118386,43868,88172,355414,381,59332,30961,115017,16800,0.4865,36.0,341328,1520,12362,54811,34743,16568,16154,47658,51909,26874,8498,5034,985,"Congressional District 12 (116th Congress), Michigan",26,12,Michigan,MI,95.1,0.5777812337,39.36666667,328497.786761371,338523.2037331672,348854.58619243075
210,MI-13,78.8,18.1,663867,348129,36.7,28484,260452,356197,9414,2240,598,6966,843,40406,604355,52358,162600,68996,72093,46425,285715,49,34971,21847,192857,2845,0.4833,38.7,259660,813,14551,45594,26055,20775,11599,14597,40977,22663,9154,2993,830,"Congressional District 13 (116th Congress), Michigan",26,13,Michigan,MI,92.2,0.5777812337,39.36666667,293164.0,265343.0,240162.18788459702
211,MI-14,79.2,18.3,704494,372092,38.6,30022,244398,394916,37231,1436,761,4675,352,22662,613537,78264,157256,90730,62330,84594,335791,93,48176,27410,142081,15190,0.5099,38.9,308961,1337,9823,51252,28779,17829,19483,21560,53369,23673,10266,5695,932,"Congressional District 14 (116th Congress), Michigan",26,14,Michigan,MI,93.7,0.5777812337,39.36666667,337491.0,318751.0,301051.58360074786
212,MN-01,38.4,53.3,678418,338296,38.6,36722,606439,21905,18839,2013,1906,1316,184,32326,628803,44788,156335,137848,36886,89888,361197,1189,61247,32385,66268,12329,0.4400,39.5,359015,16833,21003,55497,38120,13904,14025,31417,80290,20089,12105,5237,775,"Congressional District 1 (116th Congress), Minnesota",27,01,Minnesota,MN,95.5,0.6424988206,39.36666667,343764.0,340831.0,337923.02440336975
213,MN-02,45.3,46.5,714141,363316,37.9,35284,601405,40131,33434,3444,2643,4235,346,29548,640867,66766,176053,152888,23042,133777,396876,286,86218,40908,44002,26505,0.4106,40.8,389258,5072,21738,48882,43347,23902,32551,34662,60277,19741,13957,6400,1124,"Congressional District 2 (116th Congress), Minnesota",27,02,Minnesota,MN,96.6,0.6424988206,39.36666667,376586.0,377887.0,379192.49459353246
214,MN-03,50.8,41.4,723994,370724,40.4,32702,569372,63310,55202,1360,269,2515,475,17553,627424,89145,171423,157247,21805,168245,408579,375,90442,43804,35227,44421,0.4698,42.3,397374,1915,14463,55036,49260,14379,46861,31276,54812,18992,8377,8442,1261,"Congressional District 3 (116th Congress), Minnesota",27,03,Minnesota,MN,96.3,0.6424988206,39.36666667,401332.0,397008.0,392730.58730427676
215,MN-04,61.5,30.6,717766,366128,36.2,30684,500450,75003,92962,4597,409,1994,0,33510,612167,98426,170526,122153,39033,132564,379381,743,71503,35734,83854,25858,0.4698,37.9,372953,2410,16019,44359,36995,18611,27817,40022,60627,23640,16987,6593,997,"Congressional District 4 (116th Congress), Minnesota",27,04,Minnesota,MN,95.2,0.6424988206,39.36666667,370514.0,363650.0,356913.15982661926
216,MN-05,73.7,18.5,718802,359972,33.7,27429,484065,122385,42670,9613,1265,3676,375,40210,599328,110697,149067,103904,40320,148035,420054,358,65782,35974,98480,23236,0.4833,35.0,409396,1498,12681,41524,43289,16542,33037,41489,64359,31958,11386,7493,1060,"Congressional District 5 (116th Congress), Minnesota",27,05,Minnesota,MN,94.0,0.6424988206,39.36666667,373638.0,370869.0,368120.520827646
217,MN-06,33.2,58.9,722715,355861,37.5,38478,646833,26704,19476,2829,215,2097,47,16137,674526,42500,181141,148058,26793,99941,403165,721,82078,37733,51394,16877,0.3944,40.7,394934,5263,35387,62532,43940,21839,26015,34702,60575,22118,12715,4698,948,"Congressional District 6 (116th Congress), Minnesota",27,06,Minnesota,MN,96.8,0.6424988206,39.36666667,364072.0,370947.0,377951.8249384737
218,MN-07,31,61.8,663069,332202,40.3,41704,599813,11246,5728,19132,221,960,0,24540,638048,21751,156299,140763,34562,71229,336542,1050,58463,30714,69292,7926,0.4360,40.6,329801,22786,25316,47592,36933,17803,15218,29629,57046,15866,10983,3554,697,"Congressional District 7 (116th Congress), Minnesota",27,07,Minnesota,MN,95.0,0.6424988206,39.36666667,334777.0,337005.0,339247.82773308794
219,MN-08,38.6,54.2,672274,330700,43.4,51374,620998,6969,4815,17995,331,684,177,8507,658653,10119,141203,140250,30364,77171,330459,1162,56656,29993,80560,10136,0.4307,41.1,320804,9205,25038,34122,40531,16299,15512,26859,57569,24236,18614,3680,752,"Congressional District 8 (116th Congress), Minnesota",27,08,Minnesota,MN,95.2,0.6424988206,39.36666667,361237.0,359353.0,357478.8258373312
220,MO-01,77,18.8,728365,382110,36.3,38187,315884,359940,22653,1370,458,927,238,15373,677904,45561,155228,95232,52394,95705,378027,116,46850,28383,143820,13193,0.4975,37.5,361270,1515,14579,33671,35582,22166,26096,37806,64973,28991,11736,6271,885,"Congressional District 1 (116th Congress), Missouri",29,01,Missouri,MO,90.0,0.5343424741,39.36666667,350829.0,319606.1236494372,291162.00278260733
221,MO-02,42.3,52.6,760689,393593,42.8,39868,669924,29119,40337,1685,915,1798,160,12930,694313,60739,165422,169732,22197,153455,406845,39,85654,41306,36283,41538,0.4517,42.3,395237,3028,23036,43975,43242,12920,40897,36248,54628,23609,10055,9412,1029,"Congressional District 2 (116th Congress), Missouri",29,02,Missouri,MO,95.9,0.5343424741,39.36666667,411992.3024899187,420071.5131843635,428309.15801714227
222,MO-03,28.1,67.1,793405,400253,39.2,50823,736054,28334,6692,1643,457,931,229,13832,768452,21216,181383,166728,48767,95185,412921,255,64722,31886,69530,15304,0.4120,40.1,400339,5393,33227,51869,45767,18124,29255,33241,50459,27490,23871,5330,775,"Congressional District 3 (116th Congress), Missouri",29,03,Missouri,MO,92.6,0.5343424741,39.36666667,353496.1490358553,378846.3182811044,406014.417035672
223,MO-04,29.3,65.3,770500,385358,37.2,58452,686709,33920,13518,5257,600,4596,69,19407,733672,28695,170964,153917,48441,78936,358767,846,50838,25995,112750,8731,0.4359,37.6,347273,9837,24260,37325,41887,19006,22686,41482,49870,25549,16899,6396,795,"Congressional District 4 (116th Congress), Missouri",29,04,Missouri,MO,89.5,0.5343424741,39.36666667,329291.9932766489,340289.6362649403,351654.576830359
224,MO-05,54.1,40.6,771847,398402,36.8,43866,530873,170287,12887,2174,3355,3323,198,53525,717397,47908,175069,121682,48314,95848,404431,88,52235,30416,101491,11694,0.4500,37.8,387394,2647,26928,36533,40252,24163,28574,29610,57683,29271,19454,7534,902,"Congressional District 5 (116th Congress), Missouri",29,05,Missouri,MO,88.4,0.5343424741,39.36666667,338346.1814497595,328802.7427935302,319528.4876729181
225,MO-06,31.7,63.1,780002,392673,38.6,50252,702748,33495,9883,3588,1731,1417,102,23273,749777,24197,186863,152192,43505,100276,380638,1236,61209,31034,74460,14815,0.4400,40.0,370825,10974,25798,47733,42828,24379,21461,32878,51211,22280,19190,6143,811,"Congressional District 6 (116th Congress), Missouri",29,06,Missouri,MO,91.6,0.5343424741,39.36666667,341952.7861889063,354014.2133081873,366501.0734990192
226,MO-07,24.7,70.4,783672,400534,38.4,48729,715501,16109,9339,8968,249,2919,162,31748,756931,20408,177726,157971,56604,80720,367095,1037,45610,25641,116835,9656,0.4660,38.5,353731,6408,23450,42547,46994,18864,18938,29398,51384,31947,9402,6059,741,"Congressional District 7 (116th Congress), Missouri",29,07,Missouri,MO,88.1,0.5343424741,39.36666667,325978.0275173584,342069.3589570559,358955.0106442688
227,MO-08,21,75.4,737972,370364,41.3,53973,677504,33123,6108,3020,455,905,53,9699,724675,9666,165071,142048,78155,54781,321262,798,41997,22377,131161,6110,0.4695,39.9,305530,13441,22664,40138,36776,18285,14839,29007,51222,20102,13808,3368,652,"Congressional District 8 (116th Congress), Missouri",29,08,Missouri,MO,88.6,0.5343424741,39.36666667,305436.560041553,317749.0935613813,330557.96085885644
228,MS-01,32.4,65.4,769595,398700,38.3,40868,519886,213965,4848,1791,1174,1214,0,17432,747100,18855,180696,139530,80598,70075,354140,230,48063,26082,111974,8790,0.4577,40.1,334018,5724,17118,62627,38964,29050,14056,33338,47112,19887,13160,2674,771,"Congressional District 1 (116th Congress), Mississippi",28,01,Mississippi,MS,88.3,0.436576275,39.36666667,319986.081070775,310622.1860119789,301532.3107804788
229,MS-02,63.6,35.1,695797,361044,37.3,26823,218531,465342,1403,2068,222,1126,1,6290,685606,7795,168341,89614,77155,58897,287652,193,36899,21304,165760,4111,0.4815,40.1,263410,7420,17192,33384,32228,15791,10967,23094,45250,18973,15486,3126,694,"Congressional District 2 (116th Congress), Mississippi",28,02,Mississippi,MS,87.3,0.436576275,39.36666667,330543.033540373,291426.6891868025,256939.3590320752
230,MS-03,36.8,61.3,746155,386476,37.5,35982,444887,272635,8992,7793,192,654,126,8022,721451,21525,173422,130895,65567,81929,333397,244,46700,24804,138850,12647,0.5036,38.8,316785,8738,18748,32895,36351,16899,17208,38374,51960,19786,19582,5496,828,"Congressional District 3 (116th Congress), Mississippi",28,03,Mississippi,MS,89.8,0.436576275,39.36666667,340145.885388852,323853.1248012185,308340.7765571372
231,MS-04,28.2,69.4,774983,393481,37.7,59253,552151,183657,10899,1582,157,8732,2046,15842,740588,22685,183263,131721,65275,73800,342597,170,45341,24601,151061,7998,0.4781,38.7,317197,8614,24307,33061,38399,15146,12728,26475,45040,27606,17410,3982,821,"Congressional District 4 (116th Congress), Mississippi",28,04,Mississippi,MS,86.1,0.436576275,39.36666667,294909.0,283455.0,272445.8630458887
232,MT-AL,35.9,56.5,1062305,527523,40.1,84392,941438,5056,8517,68013,1216,2166,1922,27294,1029018,23366,229965,213173,45079,152448,533006,2049,55328,28206,135114,17377,0.4535,39.5,523058,34072,36751,28981,59755,29896,28711,43420,75593,50240,32199,8678,811,"Congressional District (at Large) (116th Congress), Montana",30,AL,Montana,MT,91.8,0.6196988066,39.36666667,483932.0,494526.0,505351.9186083995
233,NC-01,67.5,30.5,761087,396116,37.8,39757,363018,330488,16290,6460,1929,4225,676,44143,696189,57111,160534,115333,74691,86634,365514,77,45286,25706,139212,11522,0.4878,39.3,346793,6822,19745,40411,37125,13249,15993,42707,55589,30497,16620,6409,829,"Congressional District 1 (116th Congress), North Carolina",37,01,North Carolina,NC,88.5,0.4956807083,39.36666667,345809.082385169,354704.4657475373,363828.668563165
234,NC-02,43.6,53.2,858938,439503,38.7,57585,609822,159101,19838,3663,2122,12816,3352,55179,778630,66732,220779,182044,50484,136263,429711,520,71232,35260,77029,30295,0.4491,41.8,413152,5488,32037,42836,44615,19813,25302,35725,52255,27790,22122,8721,956,"Congressional District 2 (116th Congress), North Carolina",37,02,North Carolina,NC,90.7,0.4956807083,39.36666667,321291.973140349,397166.7426161509,490959.73328726186
235,NC-03,36.9,60.5,756375,370316,37.9,78967,548289,153235,10733,3427,2265,11802,2446,31464,717567,27475,165198,143526,59633,82281,324829,788,50333,26166,110510,7985,0.4473,37.8,304008,5562,20661,28686,38034,11688,14276,29770,40579,28524,26718,3871,876,"Congressional District 3 (116th Congress), North Carolina",37,03,North Carolina,NC,89.1,0.4956807083,39.36666667,317157.953608138,328450.9642957724,340146.0840553698
236,NC-04,68.2,28.2,871589,451929,35.3,34732,525115,195920,77259,3458,4735,11767,3266,47296,728148,128415,184816,154117,40991,196760,489226,271,72739,37205,86097,37214,0.4678,38.3,478778,1510,22268,38422,42424,18205,35676,58142,56671,36028,21056,12199,1152,"Congressional District 4 (116th Congress), North Carolina",37,04,North Carolina,NC,91.5,0.4956807083,39.36666667,361481.861748252,412532.6287579744,470793.1096926959
237,NC-05,39.8,57.4,762960,391655,41.5,43842,601222,114729,12012,4205,955,4817,1559,51518,709753,47717,159349,144582,73916,88470,362134,555,47651,26600,123497,12614,0.4930,41.7,348038,6399,24949,47818,40465,14726,17074,31481,55104,28954,11190,6410,744,"Congressional District 5 (116th Congress), North Carolina",37,05,North Carolina,NC,89.7,0.4956807083,39.36666667,353629.257284003,358022.668911305,362470.6633123152
238,NC-06,41.4,56.1,772716,397607,41.0,44632,550198,158359,14553,2592,834,6254,1730,55000,711592,55373,170593,148411,70192,90190,375174,241,51377,28258,104499,13776,0.4724,41.8,358524,5034,27728,58961,39970,18816,21298,31286,50212,25524,12768,4576,771,"Congressional District 6 (116th Congress), North Carolina",37,06,North Carolina,NC,89.5,0.4956807083,39.36666667,372713.451140273,358852.7528741065,345507.5148249994
239,NC-07,39.9,57.6,809820,416560,41.9,61610,608837,154737,6822,5022,2742,5878,838,42615,751452,49632,166691,151384,70657,101082,371184,612,49561,25886,137613,11993,0.4713,40.5,355069,11790,26966,36877,45436,14757,18465,29587,50771,31024,16965,5619,878,"Congressional District 7 (116th Congress), North Carolina",37,07,North Carolina,NC,88.3,0.4956807083,39.36666667,341443.107258608,357907.6441521853,375166.1082604498
240,NC-08,41.1,56.1,797935,403156,36.8,70519,525543,180732,21862,8295,2697,19398,2021,48478,724031,52912,190069,148336,55095,95080,363414,406,52713,28094,106012,13384,0.4536,39.0,343971,5095,22342,36548,43182,15815,19544,29985,53111,28986,21812,4045,896,"Congressional District 8 (116th Congress), North Carolina",37,08,North Carolina,NC,90.7,0.4956807083,39.36666667,307828.508843768,331233.7155453326,356418.4965390918
241,NC-09,42.8,54.4,792434,407698,39.2,46922,510575,153740,29200,61608,1991,6366,895,39016,719891,61783,199394,150924,61994,126270,373910,553,61156,30414,93619,26511,0.5209,41.9,357856,5608,27643,42161,40408,13734,35574,34564,47107,22433,11146,6256,885,"Congressional District 9 (116th Congress), North Carolina",37,09,North Carolina,NC,89.9,0.4956807083,39.36666667,384789.901378003,343888.4442370803,307334.6302912094
242,NC-10,36.4,61,762919,398595,42.4,50098,614574,96167,13014,1944,1232,4918,2943,30011,720016,35955,159411,146715,68495,91955,378806,474,51554,26629,105447,11618,0.4544,41.5,361617,3688,25057,66892,42616,21897,16681,25067,49672,27685,11079,4333,819,"Congressional District 10 (116th Congress), North Carolina",37,10,North Carolina,NC,89.8,0.4956807083,39.36666667,340976.353469741,355110.7101462457,369830.9726682019
243,NC-11,34,63.2,768166,390243,45.6,54818,694680,22893,8484,10898,640,3276,526,34965,725769,35860,143351,159616,73904,92976,362186,743,47579,25955,102647,11563,0.4732,41.5,349056,5258,29824,56736,40577,10231,11915,27718,52863,28849,16388,4512,721,"Congressional District 11 (116th Congress), North Carolina",37,11,North Carolina,NC,87.3,0.4956807083,39.36666667,337550.431597727,364054.8067665633,392640.29882144654
244,NC-12,68.4,28.4,880550,457244,34.0,38960,405087,333074,48882,4034,3167,11862,8253,46507,725067,140320,203695,130881,67155,160635,497478,197,57605,32020,115998,24158,0.4646,37.0,479882,1453,34179,41498,48501,31543,62659,30631,49113,43067,10417,13242,1137,"Congressional District 12 (116th Congress), North Carolina",37,12,North Carolina,NC,86.2,0.4956807083,39.36666667,317870.433171255,356321.3804635697,399423.5163956276
245,NC-13,44,53.4,788131,410754,39.2,44593,541609,169358,27733,5239,2386,6869,1667,38493,713683,64892,172978,144367,67673,106082,390717,256,50928,27414,115693,13307,0.4673,40.2,374094,3642,21288,58893,49550,23981,18439,30591,52150,23470,11082,4171,827,"Congressional District 13 (116th Congress), North Carolina",37,13,North Carolina,NC,89.4,0.4956807083,39.36666667,390758.684974715,363851.0754861766,338796.32167616143
246,ND-AL,27.7,64.1,760077,368855,35.4,45135,651687,25896,13749,41270,260,4221,411,17923,716772,35824,174714,149349,38508,110664,404093,330,63837,35659,78676,16211,0.4427,37.0,400818,38417,24743,27951,45560,23777,23646,37356,69462,23464,20160,4420,808,"Congressional District (at Large) (116th Congress), North Dakota",38,AL,North Dakota,ND,92.7,0.5860482327,39.36666667,320767.0,337963.0,356080.8604656963
247,NE-01,36.2,57.5,653684,324856,35.9,42546,574575,18792,17322,7691,1899,2566,472,44811,600991,45213,156542,129030,30654,90429,348423,1033,60057,31736,68672,9906,0.4183,37.7,342584,10945,25479,36550,34589,18900,22505,37418,48884,20856,19884,6492,824,"Congressional District 1 (116th Congress), Nebraska",31,01,Nebraska,NE,92.3,0.5179652042,39.36666667,264717.971016142,276046.3184296105,287859.451423097
248,NE-02,46,48.2,673005,340666,35.2,37580,544472,64342,24168,4379,1147,2163,132,59972,606736,60029,175174,123006,38281,115350,364472,393,67293,35567,67109,18656,0.4713,38.1,354105,2018,24205,25694,40139,21445,35664,30926,58491,22949,11548,8294,926,"Congressional District 2 (116th Congress), Nebraska",31,02,Nebraska,NE,91.0,0.5179652042,39.36666667,266719.646926073,285211.2067050656,304984.7784655559
249,NE-03,20,74.9,602579,302533,39.9,36628,547943,8087,4289,6485,2951,1602,2,49290,566130,33711,143170,127765,39411,63896,308442,1033,52101,28379,70560,7273,0.4372,40.2,302658,30527,22475,34294,34110,19586,17100,28570,42033,16278,12962,4489,692,"Congressional District 3 (116th Congress), Nebraska",31,03,Nebraska,NE,91.9,0.5179652042,39.36666667,259224.382057785,266918.4748653239,274840.93764200347
250,NH-01,46.6,48.2,686820,349892,41.7,48547,632042,13242,17936,1723,865,11637,4172,3562,636900,41137,132271,136636,33458,111298,378970,71,75587,34946,54192,23671,0.4499,40.7,373091,2925,24501,45820,47220,13855,25408,34591,51295,31175,12916,7398,1131,"Congressional District 1 (116th Congress), New Hampshire",33,01,New Hampshire,NH,94.0,0.5464729612,39.36666667,356812.0,371973.0,387778.19335952826
251,NH-02,48.6,46.2,669638,337124,44.3,45410,621889,10190,18112,1839,1705,8556,5299,3364,617073,41865,125857,137673,33052,105984,365800,1293,74144,34743,46028,24668,0.4561,42.9,355910,2725,25118,47072,46378,12111,18447,36735,54030,21635,13536,5865,1037,"Congressional District 2 (116th Congress), New Hampshire",33,02,New Hampshire,NH,94.5,0.5464729612,39.36666667,351587.0,360294.0,369216.62756586564
252,NJ-01,60.6,36.1,731297,378045,39.0,33695,486685,129837,40308,822,2078,57290,10868,18003,637855,72884,163081,119089,51055,100747,381973,467,71299,34089,86519,21803,0.4565,40.5,360493,1809,19776,25268,44666,22507,25796,37018,60425,21960,18264,7476,1144,"Congressional District 1 (116th Congress), New Jersey",34,01,New Jersey,NJ,94.0,0.5313149142,39.36666667,326134.0,329188.0,332270.5984166018
253,NJ-02,46,50.6,703117,356524,43.3,36494,524102,84924,26713,2140,1534,54296,9340,30897,610381,71834,144163,131118,59681,88411,348258,315,63145,30911,77223,19199,0.4656,41.9,326174,3234,23602,22920,40181,18479,16972,34977,45367,29874,19152,3205,1086,"Congressional District 2 (116th Congress), New Jersey",34,02,New Jersey,NJ,93.2,0.5313149142,39.36666667,311778.0030121764,321004.0,330503.008616601
254,NJ-03,45.2,51.4,742905,379809,43.0,44833,588304,83511,26661,745,3884,29121,3382,9057,666357,65566,154389,153394,38103,119625,380242,327,80451,38267,45723,29828,0.4474,42.4,364452,941,24726,24223,46791,20407,25817,38450,53364,20619,24812,7168,1368,"Congressional District 3 (116th Congress), New Jersey",34,03,New Jersey,NJ,95.0,0.5313149142,39.36666667,345811.9220324463,365240.0,385759.5678482234
255,NJ-04,41,55.8,748858,386643,42.2,30597,637678,48584,38402,648,4109,26737,2970,17287,640714,94232,178240,159017,33118,138674,371031,923,84380,40469,57629,41152,0.4811,43.3,356604,621,21981,20152,38987,18139,32517,45742,50982,18798,16992,9218,1397,"Congressional District 4 (116th Congress), New Jersey",34,04,New Jersey,NJ,95.4,0.5313149142,39.36666667,332612.0749553774,356583.0,382281.47882501985
256,NJ-05,47.7,48.8,730707,376049,43.1,26139,578080,38676,79469,2251,10001,22799,16767,5570,571411,149855,158158,154670,29884,157028,398025,279,106927,47113,33124,55350,0.4633,44.2,383502,1307,21571,31171,46862,17135,35689,43626,54874,17474,12382,10642,1418,"Congressional District 5 (116th Congress), New Jersey",34,05,New Jersey,NJ,95.3,0.5313149142,39.36666667,338579.900615171,364545.3239264405,392502.0149015862
257,NJ-06,56.2,40.6,730114,367466,38.0,19998,452053,81928,135462,2515,5379,47613,39563,24148,499273,213192,155554,129981,54894,121137,379450,223,85365,37557,71278,30124,0.4471,41.3,362544,1105,21931,25758,41684,30189,31341,32996,42592,20583,13368,9417,1470,"Congressional District 6 (116th Congress), New Jersey",34,06,New Jersey,NJ,93.6,0.5313149142,39.36666667,265918.3096128573,289647.506100896,315494.1753074839
258,NJ-07,48.6,47.5,730778,374127,43.0,25649,573645,36153,83376,871,8776,15514,10556,7950,581149,137547,163810,163009,28742,155880,397493,501,118810,51272,31524,65627,0.4643,44.8,382795,1796,20349,41101,38860,12925,39499,42172,45051,17656,13636,13855,1554,"Congressional District 7 (116th Congress), New Jersey",34,07,New Jersey,NJ,96.0,0.5313149142,39.36666667,340175.4331455969,371592.2089479289,405910.4694127102
259,NJ-08,75.7,21.5,764837,381937,34.7,10642,408879,74690,76486,5422,32942,73378,78132,25748,383761,343704,165184,114246,101698,115667,429663,1107,65465,32481,111136,30952,0.5084,37.7,415610,944,37093,31432,42045,33695,40495,25900,43817,28403,11083,12487,1354,"Congressional District 8 (116th Congress), New Jersey",34,08,New Jersey,NJ,84.4,0.5313149142,39.36666667,207306.9184470206,229736.0,254591.74296437248
260,NJ-09,64.3,33.1,765382,388739,38.6,14638,453260,74660,102269,1710,11234,53055,88910,36147,437977,301504,169598,133398,70627,123113,400359,97,73375,35761,99639,31253,0.4833,41.4,384265,451,24014,44594,40564,25597,28009,33373,56794,21093,10677,8400,1333,"Congressional District 9 (116th Congress), New Jersey",34,09,New Jersey,NJ,87.2,0.5313149142,39.36666667,253218.099384829,276738.4671256306,302443.54322656326
261,NJ-10,85.2,12.8,759704,394149,36.1,17477,218853,390745,54128,1661,5047,53091,32164,8149,504074,231278,175162,96129,65784,104600,398123,46,59101,31254,119835,18720,0.5086,40.0,370262,624,16903,21626,39910,39614,25544,33745,62325,22669,16397,10227,1170,"Congressional District 10 (116th Congress), New Jersey",34,10,New Jersey,NJ,88.9,0.5313149142,39.36666667,272406.9405010472,274410.0,276427.78837241314
262,NJ-11,47.9,48.8,744805,385351,42.6,27747,605871,30778,77937,621,7766,24321,7379,5169,593425,142707,157981,162750,23746,171482,407419,275,118955,51631,35443,67333,0.4615,43.3,393530,694,19180,35336,34529,17221,39774,47678,51331,15827,13787,13612,1652,"Congressional District 11 (116th Congress), New Jersey",34,11,New Jersey,NJ,95.9,0.5313149142,39.36666667,350909.3353848317,380595.0,412791.96481377323
263,NJ-12,65,31.8,756016,389295,40.0,20103,429129,133509,127002,1725,4586,30966,11182,23129,531302,208989,165685,146993,50164,138957,403985,87,89457,40081,63060,41733,0.4715,42.5,387592,1250,20907,35825,38810,21906,32994,44523,47348,18269,18813,9683,1361,"Congressional District 12 (116th Congress), New Jersey",34,12,New Jersey,NJ,92.6,0.5313149142,39.36666667,298083.0629086464,314766.493899104,332383.68096042785
264,NM-01,51.6,35.1,697064,353611,38.5,50481,550912,19749,18398,29381,1881,4659,260,197239,617268,71288,145948,110043,57779,89834,341699,270,50650,26799,118424,14453,0.4923,38.4,323869,4431,22870,13028,33400,10394,17353,33723,47768,30688,23294,7043,864,"Congressional District 1 (116th Congress), New Mexico",35,01,New Mexico,NM,90.9,0.4733722124,39.36666667,155915.0,30767.0,6071.309938107303
265,NM-02,39.9,50.1,700113,348877,36.8,48963,585804,15287,5840,39115,1930,1931,151,314323,611235,82637,170922,116469,87712,57982,282261,1116,41569,22190,144890,6091,0.4855,38.5,267816,21698,20876,11343,30587,13646,13307,27078,36780,22357,19324,2308,723,"Congressional District 2 (116th Congress), New Mexico",35,02,New Mexico,NM,90.9,0.4733722124,39.36666667,103438.0,18903.42241468936,3454.623822852144
