,CD_ID,Democrat,Republican,P_Democrat,P_Republican,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,Health_insurance_coverage,Turn_Out,Approval_Rate_Predecessor,Vote_2012,Vote_2016,Vote_2020,Ticket_CD_Demo
164,KY-02,35.1,63.3,37.2,61.5,773234,392943,37.1,64306,689889,46253,8325,2624,729,3765,311,16000,739511,23857,191988,150621,81792,50255,377034,38223,42804,22073,126955,4946,0.4504,40.2,338811,6520,21249,57048,42009,21292,15053,34357,41316,25050,16165,4289,632,"Congressional District 2 (112th Congress), Kentucky",21,02,Kentucky,KY,86.9,0.443,49.05835157,294280.2974188353,324512.0,357849.4349355643,103292.38439401118
165,KY-03,55.7,42.8,56.2,42.8,724376,375138,38.0,51298,528531,150504,16623,1658,7605,2735,151,13129,673001,46588,165341,120437,58342,85049,376051,45003,45261,25054,122132,11762,0.4855,40.2,331048,1326,14838,37264,32961,27595,25571,30713,53672,25238,11434,6665,690,"Congressional District 3 (112th Congress), Kentucky",21,03,Kentucky,KY,86.0,0.443,49.05835157,328389.0,340043.4401694527,352111.49338825647,182912.673
166,KY-04,34.8,63.4,37,61.5,746978,375525,38.3,52823,695146,24300,6759,2645,273,2734,747,9642,722158,19639,185975,145086,69804,71115,363610,30623,48793,24025,110314,5969,0.4435,41.3,332987,5839,19616,43917,36522,24459,22042,26771,51384,24727,15101,5026,666,"Congressional District 4 (112th Congress), Kentucky",21,04,Kentucky,KY,86.7,0.443,49.05835157,311034.927016173,337148.5598305473,365454.6210815148,108240.15460162821
167,KY-05,23.2,75,31.6,66.6,670805,336819,39.7,38078,648697,9262,1582,531,157,193,0,5305,665234,4199,151800,130681,131330,27914,245084,30109,28647,15841,179659,2276,0.4782,40.1,214975,15021,14202,20144,28454,12488,8310,25019,35655,16004,11126,2638,528,"Congressional District 5 (112th Congress), Kentucky",21,05,Kentucky,KY,82.3,0.443,49.05835157,261482.6425973966,278383.0,296375.67495568667,60663.97308259601
168,KY-06,42.2,55.8,44.8,53.7,767949,394807,36.2,51766,656532,69296,13759,1090,1732,2156,107,23802,728116,34031,172635,140287,68984,84973,391634,40175,43754,22563,139033,9063,0.4832,38.6,351459,7497,17304,43428,39339,14743,18184,44787,48497,26563,20581,5475,652,"Congressional District 6 (112th Congress), Kentucky",21,06,Kentucky,KY,85.9,0.443,49.05835157,304860.5848994664,333012.0,363762.97113177285,128651.16682757484
169,LA-01,26.9,70.9,25.3,72.7,693096,354139,38.4,53078,545213,108711,13718,2130,3113,3176,580,14891,643891,44424,162295,128528,62003,88003,348034,28152,49562,26068,107572,11238,0.4820,41.1,319882,5678,30802,21821,39965,16822,18635,28314,41544,26873,16230,5157,849,"Congressional District 1 (112th Congress), Louisiana",22,01,Louisiana,LA,84.6,0.4,49.05835157,332922.998670749,356482.1137288602,381708.3767597381,89556.28664243149
170,LA-02,75.8,22.8,73.4,25.4,511371,267206,35.2,26219,164977,305706,19081,1180,3012,2895,3477,7828,470182,38024,115911,56990,63430,46489,250367,28793,33788,20659,140392,4728,0.5191,39.1,221574,3372,15228,13160,23907,13091,9434,21816,32472,28236,11631,3255,883,"Congressional District 2 (112th Congress), Louisiana",22,02,Louisiana,LA,79.2,0.4,49.05835157,328306.071178936,331702.3277977897,335133.71797046316,248856.00195363347
171,LA-03,32.3,66.1,34.1,64.2,638003,324267,35.8,38249,424949,173419,7449,12747,1919,281,114,13658,614171,20968,163720,110306,92537,34099,301807,28914,45359,22247,114230,4859,0.4502,39.7,272893,21428,23124,31316,31924,17794,12714,18712,30982,16323,14590,3544,727,"Congressional District 3 (112th Congress), Louisiana",22,03,Louisiana,LA,83.8,0.4,49.05835157,333572.668656017,343024.6016347385,352744.35942474985,107743.97197589347
172,LA-04,39.7,59,39.9,58.9,673825,343502,35.8,59164,409564,227768,5843,6279,1329,1458,534,15420,654095,14782,166866,106655,67339,56590,302218,22598,41632,22382,129354,6165,0.4757,39.3,279620,16188,20596,19919,31498,14376,12015,26532,41174,22365,19168,4873,696,"Congressional District 4 (112th Congress), Louisiana",22,04,Louisiana,LA,81.4,0.4,49.05835157,324250.186321028,318462.1701637047,312777.4727782765,128727.32396944812
173,LA-05,37.7,61,36.7,62,643773,327066,36.4,43670,399659,225028,3615,2578,230,772,38,7967,630294,11366,159209,103037,90044,41190,272949,28096,32768,18263,156444,3225,0.4924,39.7,244853,12954,17903,17933,30982,11854,13217,25532,40997,18020,17805,4881,602,"Congressional District 5 (112th Congress), Louisiana",22,05,Louisiana,LA,77.6,0.4,49.05835157,329531.279174797,323409.435537125,317401.3200093245,124233.29224889848
174,LA-06,32,66.1,30.9,67.5,734876,374112,34.2,46098,451142,253826,15351,1241,781,2123,1042,9462,703217,27201,177397,121323,66293,88580,378533,34451,48945,24294,125136,6917,0.4543,38.2,344082,4359,33837,26572,38926,17553,19798,37176,45882,27158,22234,7139,791,"Congressional District 6 (112th Congress), Louisiana",22,06,Louisiana,LA,86.0,0.4,49.05835157,345481.795998473,355951.3511377819,366738.177942587,110554.17471951136
175,MA-01,64,34.3,64.1,33.7,648063,331716,40.8,50316,574967,17338,16477,1776,636,38099,2617,3497,581688,43521,128727,112602,49430,75370,353063,37226,52418,24703,78753,6807,0.4447,41.9,315837,3089,21262,38295,38379,11600,15489,43025,47876,21106,13109,6625,785,"Congressional District 1 (112th Congress), Massachusetts",25,01,Massachusetts,MA,96.0,0.494,49.05835157,333678.0,339326.0,345069.60086071,213553.92
176,MA-02,58.7,39.2,60.4,37.5,655658,339209,40.2,44976,547604,39588,13308,1627,702,73984,5197,3678,571429,48219,155580,114566,56412,79726,345100,33125,54841,27123,87484,9870,0.4561,42.3,311975,1121,17248,34212,38799,11747,24149,34106,53494,22914,11695,6070,810,"Congressional District 2 (112th Congress), Massachusetts",25,02,Massachusetts,MA,95.9,0.494,49.05835157,339921.0,351423.0,363314.1963250285,199533.62699999998
177,MA-03,56.9,41.4,58.8,39.4,672598,343055,39.0,40921,574990,30425,32519,1271,473,28117,6532,4457,565687,91071,158664,127293,50388,109389,366124,32898,64764,30721,71834,17592,0.4577,41.9,333226,526,16526,42874,40434,11420,21005,36272,53146,18557,14073,6308,873,"Congressional District 3 (112th Congress), Massachusetts",25,03,Massachusetts,MA,96.4,0.494,49.05835157,332925.0,348563.0,364935.54094465723,189434.325
178,MA-04,57.2,41.3,60.4,37.9,661996,347449,40.8,36743,572936,21838,35872,599,1152,16603,2626,2656,561060,88453,141437,123480,54959,96390,360802,31933,66797,31156,62266,26514,0.5041,42.3,328869,2182,19241,31169,39294,11045,26029,41088,55197,18061,11594,5453,975,"Congressional District 4 (112th Congress), Massachusetts",25,04,Massachusetts,MA,96.5,0.494,49.05835157,370160.0,381767.0,393737.9573400692,211731.52
179,MA-05,65.2,33.1,66.2,32.1,667862,337722,40.1,37470,522205,19107,45782,1395,1084,42632,40895,3370,540526,102973,158149,128411,53835,94996,355618,32183,69660,31193,70674,21084,0.4723,43.1,323435,923,18757,49681,36748,10696,19926,32112,46432,17030,10906,7219,972,"Congressional District 5 (112th Congress), Massachusetts",25,05,Massachusetts,MA,95.1,0.494,49.05835157,362013.0,373498.0,385347.36598961917,236032.47600000002
180,MA-06,54.7,43.9,56.9,41.4,652842,338409,41.7,40951,565548,19984,24750,997,382,13319,17612,2582,563918,79982,145551,129481,36048,110376,361435,31105,74012,34519,50678,20641,0.4514,43.2,330330,1653,16744,30244,37005,12172,29459,34086,54689,20059,13536,7782,1072,"Congressional District 6 (112th Congress), Massachusetts",25,06,Massachusetts,MA,96.3,0.494,49.05835157,387259.0,401046.0,415323.8378346275,211830.673
181,MA-07,82.5,15.6,81.9,16.7,657928,339624,39.2,30487,516094,38781,63732,812,970,12490,4757,3459,479358,168426,135668,125444,43993,114283,374734,29719,68979,33425,59807,23914,0.4796,40.5,345015,313,17342,23325,34409,13478,27921,42404,50910,23985,12665,8341,1207,"Congressional District 7 (112th Congress), Massachusetts",25,07,Massachusetts,MA,94.9,0.494,49.05835157,283031.0,301939.0,322110.1565588222,233500.575
182,MA-08,57.8,40.8,57.9,40.5,655956,343279,30.0,17027,361048,148161,65665,1769,2743,28642,22029,8558,451998,182817,103140,65498,68096,98418,378391,38548,49718,24544,141932,16360,0.5361,31.0,339843,513,10578,15284,30457,8303,25156,58270,53582,29081,11983,9008,1302,"Congressional District 8 (112th Congress), Massachusetts",25,08,Massachusetts,MA,94.3,0.494,49.05835157,369239.0,382917.0,397101.684515991,213420.142
183,MA-09,55.5,43.1,57.8,40.6,657358,339405,39.4,37429,476093,100462,39450,587,1139,19726,11994,3440,522191,120178,142070,113977,44696,108906,367652,36626,70419,33102,67743,20157,0.4610,40.7,331026,217,16483,21689,34053,12347,37647,37758,54070,20944,16164,6481,1163,"Congressional District 9 (112th Congress), Massachusetts",25,09,Massachusetts,MA,96.4,0.494,49.05835157,382989.0,391289.0,399768.87461780885,212558.895
184,MD-01,37.7,60.4,38.4,59.6,751406,381873,41.5,64557,619520,91611,16975,627,667,6064,0,10810,706976,36701,171990,152768,49177,105458,389738,34975,69901,31673,67086,22939,0.4523,43.2,354763,5194,24436,29529,39916,14191,21174,36945,46543,26823,28973,6381,962,"Congressional District 1 (112th Congress), Maryland",24,01,Maryland,MD,92.0,0.467,49.05835157,355613.5832931672,366231.0914179026,377165.6050904433,134066.32090152404
185,MD-02,63.1,35,60.6,37.5,694751,374639,37.4,58302,407218,230919,24811,1247,1081,8176,2264,6251,620103,64643,154123,109021,65705,71418,375143,41305,56056,29455,89745,8049,0.4263,40.0,333838,396,21640,21701,37742,20165,18656,31756,53709,19982,39248,5773,1007,"Congressional District 2 (112th Congress), Maryland",24,02,Maryland,MD,89.1,0.467,49.05835157,309436.6508827993,315467.0098164639,321614.88950523327,195254.52670704637
186,MD-03,60.7,37.1,60.1,38,735625,375472,36.8,55675,490385,160390,43433,1878,480,6548,1878,11037,633984,88397,159633,118415,48392,121359,407007,29697,72039,37360,64631,21921,0.4391,39.4,377310,501,23995,19654,31421,14830,26866,45115,51529,26455,38677,8241,1204,"Congressional District 3 (112th Congress), Maryland",24,03,Maryland,MD,90.9,0.467,49.05835157,335689.7485550451,343409.9157648192,351307.6307907045,203763.67737291238
187,MD-04,78.1,20.8,77.3,21.8,719128,382747,36.3,41183,196324,402585,52046,1505,3169,4432,4979,20156,545831,165041,177243,105840,56179,95058,410825,39486,73798,36961,55287,19866,0.4105,41.5,371339,476,25427,9223,32425,17195,21215,30451,50538,23571,54283,9912,1227,"Congressional District 4 (112th Congress), Maryland",24,04,Maryland,MD,85.4,0.467,49.05835157,327229.809238065,325080.647862633,322945.60162734793,255566.48101492875
188,MD-05,66.1,32.4,65.1,33.6,775536,394886,36.8,70788,409487,294489,32360,3026,2326,6192,1591,8767,675035,87672,186701,137269,44477,99398,430809,33205,85675,40571,56353,20879,0.3816,41.2,397604,1265,27983,14895,40393,23277,16507,39295,40698,23648,65001,9785,1321,"Congressional District 5 (112th Congress), Maryland",24,05,Maryland,MD,91.4,0.467,49.05835157,355303.0368207122,363617.0731669844,372125.656683429,234855.30733849073
189,MD-06,55.2,42.8,56.3,42,739136,369375,40.9,57846,642547,54458,19437,2340,638,5535,308,7468,686876,45038,170591,151700,51298,88278,394341,29020,67337,31043,57808,15185,0.4280,43.0,365321,4826,30837,26385,38626,15444,25208,36623,48911,19534,31051,8218,945,"Congressional District 6 (112th Congress), Maryland",24,06,Maryland,MD,92.2,0.467,49.05835157,323675.4868414942,337138.0962486176,351160.654924119,178668.8687365048
190,MD-07,76.2,22.3,76.2,22.4,658937,344402,35.9,41174,224503,362345,42154,2050,691,3666,599,7481,588421,64607,152384,83618,59727,85437,338213,46901,50965,26878,123511,16072,0.5044,39.9,291312,924,14090,14311,29701,13437,17630,36455,44377,17635,32965,7010,985,"Congressional District 7 (112th Congress), Maryland",24,07,Maryland,MD,88.9,0.467,49.05835157,337313.2959957003,321291.8837629214,306031.4425709517,257032.73154872362
191,MD-08,62,36,62.8,35.6,753770,384683,38.0,36438,424316,129126,98554,1857,2274,5549,5345,11211,482791,259602,173967,136585,60936,133771,430986,27907,90203,40981,57466,42614,0.4657,41.1,403079,753,26987,11606,28874,9553,27798,35222,44531,26454,46120,11732,1482,"Congressional District 8 (112th Congress), Maryland",24,08,Maryland,MD,86.3,0.467,49.05835157,352756.3883730167,364411.2819596578,376451.24736637966,218708.96079127037
192,ME-01,59.6,38.2,60.7,37.5,673209,344819,43.0,63743,638729,8979,9237,2593,113,3074,688,2495,638966,27026,138702,136212,33457,103291,370777,26219,53003,26113,74520,10123,0.4543,43.1,344558,6628,22052,33501,43397,11850,27290,32646,58810,23513,15380,6375,860,"Congressional District 1 (112th Congress), Maine",23,01,Maine,ME,90.4,0.559,49.05835157,374521.875092438,393343.4382483785,413110.87736829475,223215.03755509306
193,ME-02,53,44.4,54.6,43.4,654979,332293,43.5,65197,625765,4619,4261,5555,161,2484,19,3060,632320,15721,131620,134747,52109,65314,332759,34213,39938,20850,107928,3156,0.4333,43.1,298546,9041,22004,26512,43480,13253,13586,33339,52200,19478,13181,4672,653,"Congressional District 2 (112th Congress), Maine",23,02,Maine,ME,88.3,0.559,49.05835157,336531.124907562,352340.5617516215,368892.6885724103,178361.49620100786
194,MI-01,45.3,53.6,49.7,48.4,646517,317376,45.6,66125,600166,9074,4124,17493,121,621,173,5575,630502,11628,126996,134355,51103,56291,289198,36114,38920,20347,106870,3554,0.4437,43.0,253084,7925,15820,30451,32394,10466,9716,21613,41686,23799,12792,4056,580,"Congressional District 1 (112th Congress), Michigan",26,01,Michigan,MI,86.7,0.451,49.05835157,353693.614007051,364131.061441746,374876.51644185284,160223.2071451941
195,MI-02,43.1,56,48,50.3,697415,350572,38.9,51459,620855,34040,8791,3769,536,1974,0,41935,667490,26510,169782,142851,53465,66951,337910,38108,45613,21657,102494,4133,0.4249,41.5,299802,9551,16294,67810,35710,10694,11781,28085,41021,18762,8943,3610,697,"Congressional District 2 (112th Congress), Michigan",26,02,Michigan,MI,89.1,0.451,49.05835157,329984.581594947,346504.757556767,363851.9909904555,142223.3546674222
196,MI-03,45.8,53.1,49.7,48.6,698502,352434,35.5,41170,584655,60403,14021,2501,2607,6876,1743,36418,645021,46673,179225,135683,46455,85893,365047,38370,50385,24398,100185,7922,0.4443,39.7,326677,3885,15209,63282,38391,11161,19779,27880,45705,20489,7625,4094,719,"Congressional District 3 (112th Congress), Michigan",26,03,Michigan,MI,89.8,0.451,49.05835157,334438.20498913,349489.7183870561,365218.63063531776,153172.69788502154
197,MI-04,45.5,53.5,49.6,48.6,692584,348095,40.1,53629,643948,19020,6522,6452,257,913,145,20143,672389,16603,146555,139127,45757,63925,327203,38130,42523,21368,121221,5383,0.4516,40.5,289073,9204,16510,41351,32958,12610,14920,30405,43186,26482,10497,4832,685,"Congressional District 4 (112th Congress), Michigan",26,04,Michigan,MI,87.7,0.451,49.05835157,321414.676254724,328239.9406709575,335210.1400817418,146243.6776958994
198,MI-05,60.7,38.3,63,35.3,631658,326066,39.0,46759,482758,117897,4458,3435,56,1257,0,23591,618415,11082,152785,108220,51653,47104,284177,46510,39488,21756,127305,2509,0.4455,40.7,237667,2606,11219,33026,36494,9528,11006,20309,41938,16900,10264,3381,663,"Congressional District 5 (112th Congress), Michigan",26,05,Michigan,MI,88.8,0.451,49.05835157,338966.086957887,327573.3082944874,316563.44524025125,205752.4147834374
199,MI-06,48.8,50.2,53.1,45.2,673706,343064,38.6,48141,570541,61465,8781,2655,1084,2838,325,26790,638598,31507,158764,126330,49021,67021,334369,40322,43738,21457,121670,5451,0.4581,40.8,294047,6987,13657,60879,35590,11426,14194,25872,44112,21300,8591,2782,668,"Congressional District 6 (112th Congress), Michigan",26,06,Michigan,MI,87.7,0.451,49.05835157,325499.923154148,331985.5219434734,338600.34654412465,158843.9624992242
200,MI-07,47.9,51,50.8,47.4,673032,335988,40.5,52856,600798,42175,8028,3275,443,2918,106,20270,649207,18897,156658,132022,43171,60858,319786,38877,45620,23015,96699,6554,0.4449,42.0,280909,4783,13169,51476,32024,10993,12696,30177,40046,20611,16230,3577,698,"Congressional District 7 (112th Congress), Michigan",26,07,Michigan,MI,89.2,0.451,49.05835157,331820.213238629,340357.7962668328,349115.04741968773,158941.8821413033
201,MI-08,48,51.1,52,46.4,706174,356655,37.5,41274,622467,34940,18204,1963,1539,1443,152,23777,665560,37098,161000,135691,36624,90305,361335,33592,55686,26320,96448,8564,0.4365,41.0,327743,2922,16654,46636,37156,12150,19541,39435,43105,24916,18907,6712,766,"Congressional District 8 (112th Congress), Michigan",26,08,Michigan,MI,90.7,0.451,49.05835157,358795.0,374968.0,391870.01219080534,172221.6
202,MI-09,57.2,41.9,58.1,40.1,664940,342456,40.6,35610,508014,78648,54093,1874,396,5855,233,18130,567522,90571,150664,133882,33054,121232,352907,34092,65465,32617,72440,23126,0.4897,42.5,318815,248,10695,49914,33211,6730,25899,26748,49056,22695,8317,6470,877,"Congressional District 9 (112th Congress), Michigan",26,09,Michigan,MI,90.0,0.451,49.05835157,349021.0,355751.0,362610.7712745078,199640.012
