,CD_ID,Democrat,Republican,P_Democrat,P_Republican,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,Health_insurance_coverage,Turn_Out,Approval_Rate_Predecessor,Vote_2012,Vote_2016,Vote_2020,Ticket_CD_Demo
203,MI-10,43.7,55.3,48,50,715353,362429,41.0,51152,661525,19699,14096,1428,0,1633,174,18290,660461,50233,169311,154706,49022,70747,356770,41923,54008,25623,90009,6416,0.4119,42.7,314847,5677,16850,69686,40313,12230,13783,19372,47743,21168,12198,4115,783,"Congressional District 10 (112th Congress), Michigan",26,10,Michigan,MI,89.3,0.451,49.05835157,339317.913042113,357784.6917055126,377256.4922115422,148281.92799940342
204,MI-11,46.9,52.3,50.2,48.3,696264,357069,39.9,44498,577299,66225,33909,1600,322,1870,91,13015,633637,59406,164353,138354,37292,105002,368135,39568,59950,29994,73114,13965,0.4401,42.0,328567,322,13175,61274,39690,15532,21400,25019,45897,23642,8426,5858,831,"Congressional District 11 (112th Congress), Michigan",26,11,Michigan,MI,89.7,0.451,49.05835157,380884.0,390926.0,401232.7571544092,178634.596
205,MI-12,66.2,32.8,66.9,31.4,639945,335121,40.3,43399,458279,137179,18383,3076,172,582,0,6534,571122,64450,136050,104103,55442,64232,330140,51470,43070,23747,109527,3748,0.4324,40.9,278670,610,10890,48424,36312,11293,15639,19615,43188,21214,10075,5178,820,"Congressional District 12 (112th Congress), Michigan",26,12,Michigan,MI,86.2,0.451,49.05835157,328497.786761371,338523.2037331672,348854.58619243075,217465.53483602763
206,MI-13,85.2,14.3,84.8,14.2,506036,259717,35.7,23939,178526,291961,6154,1713,528,6614,733,45711,468598,32008,131329,49360,71406,31260,215993,55853,28627,17019,180745,3152,0.5248,40.2,160140,664,7453,20684,15719,8334,8151,11937,28768,14911,6803,2849,719,"Congressional District 13 (112th Congress), Michigan",26,13,Michigan,MI,80.8,0.451,49.05835157,293164.0,265343.0,240162.18788459702,249775.728
207,MI-14,81,18.6,82.2,17.1,553362,293195,36.8,31622,201897,320836,10869,1086,340,1810,562,10320,498094,48678,140365,64314,68033,36694,230279,51839,32017,18326,176590,1544,0.4787,40.6,178440,323,6357,24560,18128,11783,9904,15030,32103,16047,8084,3714,778,"Congressional District 14 (112th Congress), Michigan",26,14,Michigan,MI,83.8,0.451,49.05835157,337491.0,318751.0,301051.58360074786,273367.71
208,MN-01,49.6,48.2,50.8,46.7,646327,326412,38.0,46519,599845,14107,13842,1998,604,766,299,25764,613630,28996,150791,137485,37238,75201,362448,21063,52093,26380,72385,6385,0.4279,40.3,341385,18360,19882,54667,36769,13297,13984,28152,73807,20592,10050,5939,659,"Congressional District 1 (112th Congress), Minnesota",27,01,Minnesota,MN,92.1,0.558,49.05835157,343764.0,340831.0,337923.02440336975,170506.94400000002
209,MN-02,49.1,49,50.5,47.6,742930,372407,36.9,47870,654089,26495,28883,3801,227,2232,364,24215,682637,56030,201270,159892,27285,124583,423987,28492,71934,35151,50585,14192,0.3916,41.8,395495,5454,19575,57112,41528,21174,31432,37574,53954,22739,12765,8989,870,"Congressional District 2 (112th Congress), Minnesota",27,02,Minnesota,MN,92.8,0.558,49.05835157,376586.0,377887.0,379192.49459353246,184903.72600000002
210,MN-03,49.6,48.8,51,47.4,655479,336675,38.9,38499,530613,49450,43949,3591,698,1004,94,17723,580338,70713,161171,135793,22694,131530,375954,30414,70866,35602,50840,23053,0.4711,42.4,345540,2133,11546,50382,42806,13790,35108,22050,50285,17922,8093,6367,965,"Congressional District 3 (112th Congress), Minnesota",27,03,Minnesota,MN,91.6,0.558,49.05835157,401332.0,397008.0,392730.58730427676,199060.672
211,MN-04,62.5,35.5,62.6,35.5,620182,318667,35.4,35279,454545,57494,65749,4136,649,5058,275,32270,532489,82921,143273,104417,41030,93639,339413,29012,52977,27639,96903,8738,0.4620,39.0,310401,2559,12226,34639,34116,12504,24579,35710,47349,21129,13537,7010,813,"Congressional District 4 (112th Congress), Minnesota",27,04,Minnesota,MN,89.0,0.558,49.05835157,370514.0,363650.0,356913.15982661926,231571.25
212,MN-05,73.5,24,73.4,24.5,628437,315678,34.0,33567,443656,98500,32650,7861,602,3003,319,40279,533876,90029,128849,87849,45408,118374,363152,34303,50677,27928,117972,12039,0.4831,36.1,328849,1003,8632,30139,36599,10688,29239,36871,47132,28713,9249,7262,818,"Congressional District 5 (112th Congress), Minnesota",27,05,Minnesota,MN,88.5,0.558,49.05835157,373638.0,370869.0,368120.520827646,274623.93
213,MN-06,41.5,56.5,43.2,54.7,767191,383187,36.1,52848,699745,20906,20790,3343,408,570,95,15033,732195,32124,202655,164695,31944,103121,426612,30716,66723,31984,63645,10292,0.3890,41.6,395896,6170,25410,62209,48851,19047,28658,35627,56090,21553,14656,5778,856,"Congressional District 6 (112th Congress), Minnesota",27,06,Minnesota,MN,92.8,0.558,49.05835157,364072.0,370947.0,377951.8249384737,151089.88
214,MN-07,44.1,53.9,47.1,50.4,625525,310224,40.7,49731,578390,4993,6073,19103,564,654,79,19040,607433,15738,146859,135669,40651,63489,331087,21486,47671,24433,79660,4365,0.4210,41.8,309601,22571,21876,47496,36434,15780,12526,27158,49395,16717,10182,3749,594,"Congressional District 7 (112th Congress), Minnesota",27,07,Minnesota,MN,90.8,0.558,49.05835157,334777.0,337005.0,339247.82773308794,147636.657
215,MN-08,51.7,46.2,53.1,44.5,658790,325140,42.2,62477,616992,7197,4334,17009,117,827,150,5828,643497,12288,142793,140683,37659,67402,332564,30850,46631,23173,89980,5060,0.4301,42.3,301714,10313,24006,32330,35606,15990,14205,25706,53250,22390,15107,4004,647,"Congressional District 8 (112th Congress), Minnesota",27,08,Minnesota,MN,90.9,0.558,49.05835157,361237.0,359353.0,357478.8258373312,186759.529
216,MO-01,79.9,18.9,80.3,18.6,576980,310718,36.7,40458,222629,321404,14770,1207,469,1491,0,9373,544516,29730,137496,76046,48339,56959,289880,44816,37887,22735,121699,5850,0.4908,40.2,245064,900,9431,24013,26083,13594,17924,22781,45243,21111,11903,5604,793,"Congressional District 1 (112th Congress), Missouri",29,01,Missouri,MO,84.0,0.457,49.05835157,350829.0,319606.1236494372,291162.00278260733,280312.37100000004
217,MO-02,41.4,57.1,46.4,52.6,719910,368121,39.7,55084,653929,26482,21999,691,583,1695,385,12184,678790,37506,175075,161635,27414,132993,386849,25611,71348,33620,46311,19089,0.4490,42.6,361238,2140,19799,42578,46126,12890,35509,34669,45111,24529,10044,7723,863,"Congressional District 2 (112th Congress), Missouri",29,02,Missouri,MO,92.8,0.457,49.05835157,411992.3024899187,420071.5131843635,428309.15801714227,170564.81323082634
218,MO-03,36.1,62,42.8,55.8,627631,319532,37.0,43406,539535,53253,13853,1041,641,1300,109,12378,581831,42403,138942,113565,48490,77552,349798,34836,47578,26405,86278,7300,0.4555,39.6,314962,1440,22315,32338,37761,15395,22396,26958,43453,27207,11779,6546,739,"Congressional District 3 (112th Congress), Missouri",29,03,Missouri,MO,87.2,0.457,49.05835157,353496.1490358553,378846.3182811044,406014.417035672,127612.10980194376
219,MO-04,36.4,61.2,41.9,56.5,678768,336477,38.8,67551,624252,25901,3674,2668,332,2102,150,17482,655709,15683,160957,140731,56884,53538,308651,27924,42472,22053,103740,2204,0.4136,40.0,280727,8433,23133,29677,33983,13888,14290,23672,40014,20361,23651,4022,656,"Congressional District 4 (112th Congress), Missouri",29,04,Missouri,MO,84.8,0.457,49.05835157,329291.9932766489,340289.6362649403,351654.576830359,119862.2855527002
220,MO-05,58.9,39.4,62,36.8,639741,331583,36.5,50418,418451,158615,10132,2629,1833,3839,814,35992,592912,40117,154233,101101,55668,72387,330244,34681,43570,25346,124162,6269,0.4654,40.1,295563,1708,19020,24741,29852,13919,21585,23824,48554,22364,13935,8107,775,"Congressional District 5 (112th Congress), Missouri",29,05,Missouri,MO,82.9,0.457,49.05835157,338346.1814497595,328802.7427935302,319528.4876729181,199285.90087390837
221,MO-06,37.9,60,43.1,55.3,697885,352116,38.0,54454,630810,28413,10557,2857,765,2927,509,20097,666639,26674,168624,140522,48010,78626,366001,30784,50992,26020,81581,8224,0.4327,40.7,335217,8623,22669,42351,35468,19020,22349,28298,45757,23230,18425,6146,722,"Congressional District 6 (112th Congress), Missouri",29,06,Missouri,MO,87.9,0.457,49.05835157,341952.7861889063,354014.2133081873,366501.0734990192,129600.10596559549
222,MO-07,30.3,67.6,35.3,63.1,724077,369002,37.4,65312,672220,11272,7168,5947,172,1094,28,20598,696747,23454,170767,146400,63743,75323,357311,30160,41087,21353,117661,4949,0.4400,38.7,327151,5864,18392,36890,42926,16833,16880,30258,50055,30854,10865,6175,646,"Congressional District 7 (112th Congress), Missouri",29,07,Missouri,MO,83.2,0.457,49.05835157,325978.0275173584,342069.3589570559,358955.0106442688,98771.3423377596
223,MO-08,32,65.9,38.3,60,658889,331182,40.5,61912,602299,33890,3727,2765,31,382,109,8188,646399,9129,151032,130822,90276,40782,288213,29200,34344,18284,135713,2745,0.4553,40.6,259013,11469,16247,36335,31458,14464,10514,24872,46567,15567,14358,2828,551,"Congressional District 8 (112th Congress), Missouri",29,08,Missouri,MO,84.9,0.457,49.05835157,305436.560041553,317749.0935613813,330557.96085885644,97739.69921329696
224,MS-01,37,61.9,36.6,62.4,791282,412057,37.2,47626,547437,220511,3660,1681,0,2288,320,16679,776757,12048,200256,142085,97144,55945,364235,38758,39089,20049,135338,4590,0.4518,40.6,325477,6868,24416,55308,36867,22965,15664,32290,46611,19169,11052,2698,660,"Congressional District 1 (112th Congress), Mississippi",28,01,Mississippi,MS,84.7,0.37,49.05835157,319986.081070775,310622.1860119789,301532.3107804788,118394.84999618675
225,MS-02,66.4,33,64.2,35.2,671249,346700,34.1,36148,207349,450474,2687,1003,199,473,0,9156,658635,11445,177100,83082,93680,53115,283573,42124,30752,17525,197849,2749,0.4812,40.3,241449,9695,14582,22766,25248,12914,10056,29664,39331,15732,18705,2542,633,"Congressional District 2 (112th Congress), Mississippi",28,02,Mississippi,MS,81.3,0.37,49.05835157,330543.033540373,291426.6891868025,256939.3590320752,219480.5742708077
226,MS-03,39.1,60,38.4,60.8,756237,389853,36.8,48132,465824,267232,6624,7578,253,540,103,9424,736068,16707,186888,130477,85925,71261,335932,32476,37872,21291,156065,7166,0.4795,40.7,303456,11264,20950,33742,30521,15084,19427,32776,46791,16915,17264,5896,696,"Congressional District 3 (112th Congress), Mississippi",28,03,Mississippi,MS,83.8,0.37,49.05835157,340145.885388852,323853.1248012185,308340.7765571372,132997.04118704112
227,MS-04,31.2,67.6,31.1,67.9,759744,383268,36.0,69242,549936,177142,14106,1553,680,3766,438,20378,727544,24856,187697,131865,84181,60405,348725,37812,39168,21010,161272,5717,0.4757,39.6,310913,7408,24103,39789,36998,13832,18475,29433,39836,25606,19134,3759,762,"Congressional District 4 (112th Congress), Mississippi",28,04,Mississippi,MS,79.0,0.37,49.05835157,294909.0,283455.0,272445.8630458887,92011.608
228,MT-AL,41.7,55.4,47.3,49.5,998199,497888,39.7,94872,891294,4305,5714,66644,264,1366,0,20755,971276,20060,223071,199556,52247,132946,521313,41325,44222,22583,144054,7935,0.4351,41.0,479988,34708,36818,20326,60866,23098,26018,43278,68667,43015,28615,9094,650,"Congressional District (at Large) (112th Congress), Montana",30,AL,Montana,MT,81.7,0.484,49.05835157,483932.0,494526.0,505351.9186083995,201799.64400000003
229,NC-01,68.1,31.2,67.3,32.2,630163,330098,39.9,47254,275046,315084,3611,3938,77,1753,154,24307,603166,21961,146889,94784,92089,39854,283780,49285,32411,18385,164398,2099,0.4663,42.1,234495,8719,14300,36576,28187,8877,7233,19324,42260,18357,15788,2755,654,"Congressional District 1 (112th Congress), North Carolina",37,01,North Carolina,NC,82.6,0.398,49.05835157,345809.082385169,354704.4657475373,363828.668563165,235495.98510430008
230,NC-02,43,56,44.8,54.3,746908,385750,34.2,63655,467487,216070,6540,5315,1406,9197,1125,59964,682269,53663,194064,125417,81838,63984,350730,50874,40934,21939,139636,2864,0.4398,39.6,299856,7306,22889,36509,31884,13393,17106,27630,41729,23133,20416,5051,747,"Congressional District 2 (112th Congress), North Carolina",37,02,North Carolina,NC,83.2,0.398,49.05835157,321291.973140349,397166.7426161509,490959.73328726186,138155.54845035006
231,NC-03,40.6,58.5,42.4,56.8,750658,377694,35.5,78861,571212,130722,9049,4854,583,7314,1087,34061,707726,32002,170046,141752,60030,75257,354104,39182,46640,23897,120441,5313,0.4320,38.1,314922,10110,18721,26527,34386,10902,16753,29241,45284,30605,29661,5900,784,"Congressional District 3 (112th Congress), North Carolina",37,03,North Carolina,NC,85.5,0.398,49.05835157,317157.953608138,328450.9642957724,340146.0840553698,128766.12916490404
232,NC-04,64.5,34.2,65.8,33.2,845233,439467,35.9,50833,582611,157528,59307,3103,2132,7789,587,45263,715761,116057,204120,165151,48209,161625,456491,31145,64121,32423,98643,24071,0.4537,40.7,425346,2397,22312,39445,37634,10480,25662,60320,63515,26917,16124,11108,841,"Congressional District 4 (112th Congress), North Carolina",37,04,North Carolina,NC,87.3,0.398,49.05835157,361481.861748252,412532.6287579744,470793.1096926959,233155.80082762253
233,NC-05,42.3,56.5,44.6,54.2,682476,352236,41.5,51312,588798,52950,6698,1787,1092,3476,1682,28896,643567,34859,150050,145994,77469,74273,338804,34461,41673,22588,121675,7430,0.4748,42.6,304343,4294,21189,49042,36351,14286,16542,27052,47608,21433,8981,4603,645,"Congressional District 5 (112th Congress), North Carolina",37,05,North Carolina,NC,86.1,0.398,49.05835157,353629.257284003,358022.668911305,362470.6633123152,149585.17583113327
234,NC-06,43.2,55.9,45.2,53.8,727931,377385,40.7,56449,596053,83263,11213,2425,1254,3524,259,35654,680627,42273,168111,154146,72040,87056,364608,35852,47514,25512,106757,8313,0.4567,42.1,328756,4283,19699,52700,40236,17002,19317,27800,45200,20736,12038,6762,690,"Congressional District 6 (112th Congress), North Carolina",37,06,North Carolina,NC,84.8,0.398,49.05835157,372713.451140273,358852.7528741065,345507.5148249994,161012.21089259797
235,NC-07,43.2,55.9,44.6,54.6,759230,387735,38.8,64984,495859,161744,4482,56534,1210,6070,767,31021,712287,38476,169560,139020,89425,74976,353214,45364,38458,21311,156218,6234,0.4871,40.3,307850,6029,28042,35114,40623,14490,10967,26940,46193,22782,18083,4521,735,"Congressional District 7 (112th Congress), North Carolina",37,07,North Carolina,NC,81.2,0.398,49.05835157,341443.107258608,357907.6441521853,375166.1082604498,147503.42233571867
236,NC-08,44.4,54.7,45.3,53.9,718632,364515,34.1,63354,444111,200901,15161,13420,1098,11484,3831,49315,642698,63616,186374,120496,78469,62249,337988,49104,40204,21855,147403,3088,0.4347,39.2,288884,2616,24864,34293,34100,15738,13618,28770,39703,24343,16026,4325,741,"Congressional District 8 (112th Congress), North Carolina",37,08,North Carolina,NC,80.5,0.398,49.05835157,307828.508843768,331233.7155453326,356418.4965390918,136675.85792663298
237,NC-09,43.8,55.4,45.2,54,879730,456444,36.8,56366,666365,143038,28081,3515,988,6277,5050,29570,786879,83638,231181,179025,50153,169116,477643,49186,60559,31114,91960,21677,0.4799,41.1,428457,1133,23578,45489,46129,22522,55940,33024,50585,28435,12837,9955,848,"Congressional District 9 (112th Congress), North Carolina",37,09,North Carolina,NC,86.7,0.398,49.05835157,384789.901378003,343888.4442370803,307334.6302912094,168537.9768035653
238,NC-10,40.4,58.5,41.6,57.4,692489,352560,40.9,50543,592516,60112,13704,1647,2941,2910,429,20365,660905,28257,159402,139664,88139,64166,330057,40359,41848,21866,112533,7562,0.4761,42.5,289698,2649,17715,63110,36784,16436,13981,23756,41839,15419,10640,3021,646,"Congressional District 10 (112th Congress), North Carolina",37,10,North Carolina,NC,84.1,0.398,49.05835157,340976.353469741,355110.7101462457,369830.9726682019,137754.44680177537
239,NC-11,39.1,59.6,41.5,57.1,707916,367730,43.2,63838,638575,30779,6549,10901,3423,4301,379,25689,667264,32847,139698,147392,71756,79459,332283,35184,40736,21890,120780,5757,0.4594,41.2,297099,4875,19000,35719,41312,8733,14678,26911,47395,23400,15167,3735,688,"Congressional District 11 (112th Congress), North Carolina",37,11,North Carolina,NC,82.5,0.398,49.05835157,337550.431597727,364054.8067665633,392640.29882144654,131982.21875471127
240,NC-12,67.8,31.3,68,31.3,736885,384140,34.4,43690,356865,317503,28784,2326,1237,7623,2713,52640,645517,83622,180919,104956,89800,81412,367731,55559,36757,20671,168716,4785,0.4698,38.2,312172,1293,19955,37389,33292,18316,25447,28522,44125,26581,6967,5868,760,"Congressional District 12 (112th Congress), North Carolina",37,12,North Carolina,NC,79.3,0.398,49.05835157,317870.433171255,356321.3804635697,399423.5163956276,215516.1536901109
241,NC-13,46.1,52.9,47.9,51.2,778150,392804,35.0,49331,493025,221864,18149,1868,1258,9087,3671,47362,694765,77079,188728,130345,77221,103051,404262,40332,44577,24473,131803,6542,0.4527,39.1,363930,3086,26480,44378,41870,12857,23268,35567,43914,27812,19252,6607,760,"Congressional District 13 (112th Congress), North Carolina",37,13,North Carolina,NC,82.6,0.398,49.05835157,390758.684974715,363851.0754861766,338796.32167616143,180139.75377334363
242,ND-AL,38.9,58.7,44.6,53.3,683932,339988,36.6,55556,614327,6857,7070,38515,187,1262,136,11889,663613,16626,151278,142172,41589,86615,382841,12011,51704,26817,80882,9275,0.4448,38.7,370830,33944,26970,25080,44670,21286,23141,35232,58593,20936,16873,5532,626,"Congressional District (at Large) (112th Congress), North Dakota",38,AL,North Dakota,ND,90.2,0.466,49.05835157,320767.0,337963.0,356080.8604656963,124778.36299999998
243,NE-01,40.8,57.5,44.2,54.3,630440,316223,35.9,45779,571122,13877,15237,8019,287,1184,323,34245,588339,39121,153568,131276,33668,77162,349883,21768,51522,26024,75231,7356,0.4334,39.3,328115,12986,19306,38425,35447,19022,22370,36185,47183,20615,15461,6239,656,"Congressional District 1 (112th Congress), Nebraska",31,01,Nebraska,NE,89.8,0.387,49.05835157,264717.971016142,276046.3184296105,287859.451423097,108004.93217458593
244,NE-02,45.7,52.8,50,48.8,648049,328313,33.8,54039,517352,64623,16922,4927,738,2552,176,59271,588590,52927,169441,115668,35237,96102,356933,27150,53553,28485,85065,10162,0.4654,38.6,329783,2450,22385,25853,37514,18270,33990,25662,50408,21806,14674,9964,757,"Congressional District 2 (112th Congress), Nebraska",31,02,Nebraska,NE,87.7,0.387,49.05835157,266719.646926073,285211.2067050656,304984.7784655559,121890.87864521537
245,NE-03,27.8,70.2,31.1,67.1,564152,285609,40.5,46286,536411,5193,2358,5039,858,227,0,41935,537867,24076,137617,123039,38859,52558,300058,14313,44898,23757,74414,4829,0.4303,42.2,285745,30734,17968,35595,34467,20557,13447,22825,41394,16950,10973,3663,573,"Congressional District 3 (112th Congress), Nebraska",31,03,Nebraska,NE,88.3,0.387,49.05835157,259224.382057785,266918.4748653239,274840.93764200347,72064.37821206423
246,NH-01,50.2,48.6,52.8,46.4,661538,333926,41.0,55509,623829,7853,13195,1305,562,6149,1383,5556,615426,38113,138263,137858,36650,96602,377243,24156,63561,30565,57927,13150,0.4429,42.2,353087,2778,27222,39998,47425,16783,24533,37268,43793,24095,13551,7285,974,"Congressional District 1 (112th Congress), New Hampshire",33,01,New Hampshire,NH,88.9,0.461,49.05835157,356812.0,371973.0,387778.19335952826,179119.624
247,NH-02,54.2,44.5,56,43.1,656656,333208,41.9,59788,617039,6802,15807,849,1362,4951,631,5530,613047,35730,141406,138917,42333,95146,358123,26404,61830,29953,54788,11950,0.4256,43.8,331719,3247,22470,44606,40267,11998,19166,35755,48327,18224,16097,7241,893,"Congressional District 2 (112th Congress), New Hampshire",33,02,New Hampshire,NH,90.1,0.461,49.05835157,351587.0,360294.0,369216.62756586564,190560.154
248,NJ-01,65.1,33.8,64.7,34.2,663175,343222,38.2,43630,464186,109737,25523,1353,972,43771,10398,11555,585960,55966,155156,111100,55904,76365,356064,48636,59072,30017,82644,9255,0.4364,41.2,307428,848,16724,24442,38661,16661,22474,31030,50517,18766,17144,5862,923,"Congressional District 1 (112th Congress), New Jersey",34,01,New Jersey,NJ,89.4,0.377,49.05835157,326134.0,329188.0,332270.5984166018,212313.234
249,NJ-02,53.5,45.4,53.2,45.5,694375,353752,40.2,45961,506176,100946,26175,5612,1964,54450,6636,27110,597879,74653,160972,120169,73897,72893,353788,46643,55126,27479,83332,8959,0.4371,42.3,307145,5695,17610,22267,33707,14082,15858,30255,44890,28480,16386,3832,997,"Congressional District 2 (112th Congress), New Jersey",34,02,New Jersey,NJ,86.7,0.377,49.05835157,311778.0030121764,321004.0,330503.008616601,166801.23161151438
250,NJ-03,51.8,47.2,51.1,47.7,680528,349030,43.2,59427,551375,67367,31148,928,1926,21425,1387,11057,605783,64318,141885,137833,43603,100319,354444,38369,68293,31872,41806,15654,0.4284,43.5,316075,2013,20846,20142,41920,14467,24113,31381,46433,19825,22654,7766,1223,"Congressional District 3 (112th Congress), New Jersey",34,03,New Jersey,NJ,90.9,0.377,49.05835157,345811.9220324463,365240.0,385759.5678482234,179130.57561280715
251,NJ-04,44.7,54.2,45.3,53.6,726663,371431,39.2,47906,598839,60310,23807,959,1316,28737,3115,21252,623632,88489,187588,140977,53160,98972,357277,36712,66111,31360,77291,15655,0.4404,42.2,320565,1389,20297,21660,38719,17328,22571,33175,43392,20296,23362,8912,1180,"Congressional District 4 (112th Congress), New Jersey",34,04,New Jersey,NJ,90.4,0.377,49.05835157,332612.0749553774,356583.0,382281.47882501985,148677.59750505368
252,NJ-05,47.9,50.9,48.5,50.5,667593,344906,42.5,36708,564467,15596,58618,313,8700,13287,6985,8257,551629,107884,163365,148734,31813,126969,352878,29782,90010,39023,30993,32130,0.4690,44.9,323096,1967,18516,32247,35198,12147,28899,34948,45348,15508,10577,11020,1243,"Congressional District 5 (112th Congress), New Jersey",34,05,New Jersey,NJ,92.4,0.377,49.05835157,338579.900615171,364545.3239264405,392502.0149015862,162179.7723946669
253,NJ-06,61.4,37.4,58.4,40.5,670769,343253,36.6,31941,443218,94316,79485,2499,2906,32207,10363,32324,491837,167647,147303,115517,49617,99368,367743,38048,68549,31454,68511,16385,0.4420,40.1,329695,1150,18528,28722,36997,19473,28164,30518,42350,23560,13433,11833,1191,"Congressional District 6 (112th Congress), New Jersey",34,06,New Jersey,NJ,84.0,0.377,49.05835157,265918.3096128573,289647.506100896,315494.1753074839,163273.84210229438
254,NJ-07,46.3,52.5,47.2,51.6,686790,346717,41.0,31680,514634,42226,93601,995,5340,17311,5009,7303,523077,155378,165874,151555,33941,128544,376232,33568,93914,42992,31924,36725,0.4452,44.2,342664,1034,15902,40794,38846,15609,34816,32737,41163,16371,13567,13227,1336,"Congressional District 7 (112th Congress), New Jersey",34,07,New Jersey,NJ,91.6,0.377,49.05835157,340175.4331455969,371592.2089479289,405910.4694127102,157501.22554641136
255,NJ-08,78.3,20.8,73.2,26,657473,340464,37.3,20397,434407,85636,46218,2229,4746,51591,60869,35765,429003,194524,158930,103905,68819,86171,331538,37538,59905,30182,89996,18024,0.4895,42.5,294000,357,14287,34445,33933,17112,24020,27334,42234,16347,10293,8667,1121,"Congressional District 8 (112th Congress), New Jersey",34,08,New Jersey,NJ,82.3,0.377,49.05835157,207306.9184470206,229736.0,254591.74296437248,162321.3171440171
256,NJ-09,68.4,30.8,64,35.2,673641,341484,39.2,23719,435927,51828,102324,1336,10962,35169,30126,12481,410065,246922,135704,121555,59058,119040,372038,34541,64049,32580,66398,17640,0.4573,41.3,337497,218,16871,29035,32849,23471,32145,27576,44792,21683,11857,9974,1221,"Congressional District 9 (112th Congress), New Jersey",34,09,New Jersey,NJ,83.1,0.377,49.05835157,253218.099384829,276738.4671256306,302443.54322656326,173201.17997922306
257,NJ-10,87.9,11.5,84.9,14.6,628454,334519,35.4,20051,157745,365677,26237,1771,5198,37298,15388,7992,431754,180487,154127,68253,69883,57245,318852,52528,42374,24447,116896,7552,0.5017,40.2,266324,112,11155,17878,31679,26453,17933,21511,50657,14199,15255,6776,1014,"Congressional District 10 (112th Congress), New Jersey",34,10,New Jersey,NJ,80.7,0.377,49.05835157,272406.9405010472,274410.0,276427.78837241314,239445.70070042048
258,NJ-11,46.6,52.4,47,52.1,671685,343993,42.2,33929,554953,21019,61674,335,3051,15027,2472,10653,545927,118081,159163,152858,27773,136250,364029,31536,94687,42115,30809,38903,0.4493,44.8,332493,937,16027,40966,35884,10535,36133,32524,39246,12658,11120,11059,1360,"Congressional District 11 (112th Congress), New Jersey",34,11,New Jersey,NJ,92.3,0.377,49.05835157,350909.3353848317,380595.0,412791.96481377323,163523.75028933157
259,NJ-12,66.5,32.4,65.7,33.3,707192,363131,40.7,34118,474887,87157,110622,1399,2014,22085,6961,5143,545969,150387,161089,145611,35600,129168,373574,34537,83189,37644,40505,34181,0.4593,42.9,339037,1132,15312,27751,33370,14699,40689,41278,42904,10929,15983,12423,1189,"Congressional District 12 (112th Congress), New Jersey",34,12,New Jersey,NJ,91.5,0.377,49.05835157,298083.0629086464,314766.493899104,332383.68096042785,198225.23683424987
260,NM-01,55.3,39.6,59.7,39,712510,361409,36.8,64326,487873,19369,12220,28967,5826,2458,28,182746,627865,76731,167473,113621,59722,79488,355529,38914,43468,24592,144162,8789,0.4860,40.1,316615,4636,20720,17834,36814,10592,15596,34101,45898,26679,20336,6647,737,"Congressional District 1 (112th Congress), New Mexico",35,01,New Mexico,NM,82.3,0.447,49.05835157,155915.0,30767.0,6071.309938107303,86220.995
261,NM-02,44.9,51.7,48.4,50.2,679634,337994,35.5,56795,550519,11340,4688,44134,125,2484,38,292599,592245,80862,173562,118134,93657,51724,298207,34030,37287,19912,155102,4057,0.4814,39.4,264177,22924,21560,14710,27569,12696,11403,30448,33695,20129,24698,4463,637,"Congressional District 2 (112th Congress), New Mexico",35,02,New Mexico,NM,79.9,0.447,49.05835157,103438.0,18903.42241468936,3454.623822852144,46443.662000000004
262,NM-03,57.5,38.7,61.2,37.5,690080,346263,37.4,55920,454398,13656,8729,117724,750,2466,377,130299,630217,53514,176718,117853,74346,64315,325663,36682,44413,23192,140650,7890,0.4741,41.4,288981,13541,17144,11853,31951,15624,14240,28492,36580,26909,23267,4412,805,"Congressional District 3 (112th Congress), New Mexico",35,03,New Mexico,NM,78.1,0.447,49.05835157,155982.0,24870.57758531064,3965.4936430290436,89689.65
263,NV-01,65.6,32.4,64.5,33,814286,395779,34.5,60864,518622,103106,48478,6411,7839,5443,278,258569,597655,203436,220345,118580,115703,60162,398881,57125,41818,22954,173964,5796,0.4598,39.8,341756,1265,22937,10709,35394,14601,23499,19618,29104,74826,16206,5444,872,"Congressional District 1 (112th Congress), Nevada",32,01,Nevada,NV,73.3,0.414,49.05835157,187685.668976071,196839.6355857773,206440.06731532337,123121.79884830257
264,NV-02,44.8,52.9,49.4,48.2,848385,418383,39.4,90157,685915,28358,30607,21189,1303,3299,185,142033,728261,107361,195697,160240,79794,89387,422046,48318,50637,25966,112780,9782,0.4506,42.1,373728,17776,26831,23152,42967,18145,18648,26429,39131,37977,28845,6026,874,"Congressional District 2 (112th Congress), Nevada",32,02,Nevada,NV,79.2,0.414,49.05835157,293476.10168119,326011.2208714742,362153.2231253609,131477.2935531731
