,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,CD_ID
96,630032,326083,45.4,244753,557309,31914,21229,1620,5072,14000,569,11374,548662,70008,113105,121345,56431,83239,13482,0,45035,26397,65683,8688,0.464,43.0,37587,50846,45438,48532,55388,56063,38898,49335,19680,33979,31304,39339,5.0,"Congressional District 10, Florida (111th Congress)",12,10,Florida,FL,FL-10
97,666805,342458,34.6,240749,419775,188984,16717,2102,42030,50480,5908,29255,531998,105349,160718,93957,81189,69437,18995,54,39382,22540,125691,7211,0.484,37.7,34095,48428,46878,45259,61087,41563,43110,52143,21175,32247,30670,37690,5.0,"Congressional District 11, Florida (111th Congress)",12,11,Florida,FL,FL-11
98,778275,394426,37.0,280620,593207,114334,12793,2011,10702,51162,4404,57802,658499,87339,196773,156981,89825,70219,21132,0,46188,24696,104619,5231,0.422,39.2,35375,48180,44179,44645,57174,43589,37462,47119,21029,32207,30417,37699,5.4,"Congressional District 12, Florida (111th Congress)",12,12,Florida,FL,FL-12
99,735932,375258,47.7,291483,655617,38665,10708,1521,5985,9520,1319,44692,637087,89267,134707,162805,70632,91378,15182,42,48336,26039,78116,11921,0.467,42.8,36839,52672,49758,49876,55565,49477,39674,46822,21922,33557,30616,41333,5.2,"Congressional District 13, Florida (111th Congress)",12,13,Florida,FL,FL-13
100,813843,411469,46.3,321892,709096,51548,10061,2538,21171,22676,2969,39861,677681,120903,156053,189875,73563,105480,16202,21,52389,27916,78514,18722,0.492,42.0,38499,53755,51807,51053,57421,50966,43025,49316,24036,34972,31660,42982,5.3,"Congressional District 14, Florida (111th Congress)",12,14,Florida,FL,FL-14
101,780787,396907,42.0,294022,642898,69716,17985,2426,9043,62745,7656,20991,641955,97586,172518,163557,67068,88046,21472,61,47699,24714,85483,9215,0.446,41.4,36298,52800,49519,51641,71167,55865,39877,44583,22633,31209,29282,39161,5.5,"Congressional District 15, Florida (111th Congress)",12,15,Florida,FL,FL-15
102,759693,382464,44.8,294675,643361,61297,11364,3492,12716,21135,2596,46277,639795,104483,159814,164806,85811,77610,20286,51,47885,24286,84757,11183,0.468,42.3,36706,52044,46595,50056,65009,46276,40560,46140,20927,32527,29853,40928,5.5,"Congressional District 16, Florida (111th Congress)",12,16,Florida,FL,FL-16
103,665554,350854,33.2,221854,221840,388920,11954,1723,39350,25519,15756,6524,411112,237491,180426,76436,102783,46764,21267,15,36140,19727,141202,2000,0.442,38.8,29449,41845,41081,41258,51488,36467,38427,43897,20063,29049,29539,37999,4.6,"Congressional District 17, Florida (111th Congress)",12,17,Florida,FL,FL-17
104,690629,346322,40.2,274348,589651,50700,9463,765,236084,23753,12253,14058,312499,358699,132489,108581,118139,92136,15390,15,40506,20318,124401,15599,0.56,39.9,32473,54933,52629,51667,58145,49932,40555,47558,19463,31334,29790,39028,4.2,"Congressional District 18, Florida (111th Congress)",12,18,Florida,FL,FL-18
105,703835,372343,45.0,258456,566028,72175,20136,1027,16158,24941,6367,19496,525321,161148,140496,144098,58456,99815,14696,0,50253,26979,63969,13165,0.471,41.5,40734,56359,55368,53277,67248,54484,44020,67879,24772,37364,33463,43584,5.0,"Congressional District 19, Florida (111th Congress)",12,19,Florida,FL,FL-19
106,686279,352303,40.1,256731,543654,72995,19739,2079,39826,27478,8411,10626,454915,212651,149531,123468,49947,107563,16141,0,55822,30657,63538,16735,0.482,41.5,44222,60808,55933,55535,61632,52576,45113,71275,24180,37352,33345,43526,4.7,"Congressional District 20, Florida (111th Congress)",12,20,Florida,FL,FL-20
107,671933,349271,38.7,243439,553680,57415,17457,369,291715,24231,16345,9276,274698,372657,154855,120806,100309,82312,17719,21,47764,21330,85501,7997,0.464,40.9,33156,52597,49649,49038,59049,57798,42023,62422,19315,30231,29164,40213,5.1,"Congressional District 21, Florida (111th Congress)",12,21,Florida,FL,FL-21
108,699573,353946,44.4,275986,610437,39020,16828,1270,22079,18203,4530,14380,547167,138298,133891,139087,47121,126033,16283,0,62111,32113,59913,25824,0.517,43.1,46663,64218,63436,58582,75431,57245,51094,78042,24319,40307,33939,44279,5.1,"Congressional District 22, Florida (111th Congress)",12,22,Florida,FL,FL-22
109,685473,342540,33.6,250294,243131,377883,11002,1898,14186,21577,5445,31363,465523,204509,182960,82978,107997,49115,20459,25,38757,20726,143423,2732,0.438,38.4,30775,43904,40944,41837,54950,45653,38113,39635,20754,30595,30447,39100,4.7,"Congressional District 23, Florida (111th Congress)",12,23,Florida,FL,FL-23
110,752820,377596,38.3,289534,624156,59335,22875,2134,10489,50820,5518,13102,641996,78028,165686,150739,52144,97099,21216,44,53940,26866,74633,9224,0.434,40.1,40185,54793,49812,52565,64065,49451,38489,48350,20856,33449,30814,41128,5.8,"Congressional District 24, Florida (111th Congress)",12,24,Florida,FL,FL-24
111,786308,388524,34.7,288974,626187,83961,14424,1900,243726,41314,16962,53249,398286,356437,211104,128110,109061,80791,23026,0,54457,24034,98604,6384,0.424,39.9,35011,51052,49755,47754,54787,53619,42403,56650,21789,31550,30243,39308,5.4,"Congressional District 25, Florida (111th Congress)",12,25,Florida,FL,FL-25
112,676743,340793,34.1,231464,473762,166802,7316,1596,854,4708,666,22054,638082,28577,177084,126608,76667,51708,21274,606,42178,22261,111193,5006,0.458,38.2,33510,48119,47663,44899,63085,45777,36045,31870,16984,29211,27132,43597,5.6,"Congressional District 1, Georgia (111th Congress)",13,01,Georgia,GA,GA-01
113,634905,323696,34.5,209471,307103,302252,4430,1991,655,3197,579,11981,612580,16344,165363,97907,92617,36616,25477,4465,34480,19401,138310,3170,0.479,38.6,31383,43654,42786,42436,51071,41081,36515,32046,16426,28983,27885,41660,5.5,"Congressional District 2, Georgia (111th Congress)",13,02,Georgia,GA,GA-02
114,771003,397960,36.3,261410,555404,177700,13518,1589,2836,4005,419,14518,726710,34590,213653,158329,73395,76422,23339,11,56019,27215,84974,8640,0.421,40.7,41785,55977,54477,51845,62247,59238,40606,41826,18403,36032,33498,44733,6.1,"Congressional District 3, Georgia (111th Congress)",13,03,Georgia,GA,GA-03
115,676213,344541,33.2,241923,207170,372755,32049,1854,2420,5420,1191,64011,533738,134959,176723,91444,70861,81853,18890,39,48126,26151,105553,6042,0.427,38.2,37155,53857,51001,53327,62275,67375,49252,44640,20500,33723,32959,44679,5.8,"Congressional District 4, Georgia (111th Congress)",13,04,Georgia,GA,GA-04
116,749802,375744,33.9,292416,324683,358475,22684,1685,1588,2631,787,45459,665065,76062,159396,78827,73650,135306,21599,0,50704,27094,142820,26117,0.56,36.5,45108,66959,68255,62101,66392,67376,56465,40800,21162,39776,34388,48342,5.1,"Congressional District 5, Georgia (111th Congress)",13,05,Georgia,GA,GA-05
117,710004,357779,35.9,251324,568469,57644,44177,1712,3093,3826,750,36160,593508,107740,196219,151043,32899,160275,18220,13,79973,38657,43679,27430,0.44,40.9,55013,74130,71012,66659,76525,70076,56642,44081,22065,46152,38618,47762,6.9,"Congressional District 6, Georgia (111th Congress)",13,06,Georgia,GA,GA-06
118,872335,437951,33.9,299809,574137,168937,67157,2798,3476,8309,2713,49117,712396,148204,261074,174192,66602,123930,25351,14,65441,31220,77533,13056,0.406,40.3,45300,61420,56254,58260,68422,62288,54008,44430,21329,39544,34746,44681,6.6,"Congressional District 7, Georgia (111th Congress)",13,07,Georgia,GA,GA-07
119,695947,357424,35.5,238665,430391,233609,7240,1604,697,2156,131,19783,662936,26040,185375,121549,91950,49894,22429,59,42529,22348,123098,4544,0.452,39.3,34922,50344,44048,48585,62261,48038,37279,35707,16296,30868,29715,42854,5.7,"Congressional District 8, Georgia (111th Congress)",13,08,Georgia,GA,GA-08
120,779369,391657,36.2,280419,689824,25794,10701,2727,1710,3057,731,77705,699211,74978,207162,164490,114308,69320,20467,90,48234,24653,102867,8103,0.444,39.9,36278,54699,53334,51325,64792,51928,38582,39663,18760,33868,31271,42369,5.8,"Congressional District 9, Georgia (111th Congress)",13,09,Georgia,GA,GA-09
121,705298,363601,35.2,247782,533367,137644,13255,1491,706,3388,153,21357,661683,35555,168189,132491,86215,63870,22341,1067,42406,21792,119907,7278,0.477,38.2,35788,50761,49242,49274,69239,49831,37798,36726,18411,30973,28631,44015,5.7,"Congressional District 10, Georgia (111th Congress)",13,10,Georgia,GA,GA-10
122,775421,393678,34.3,272263,606653,111070,13719,1958,882,4384,627,35706,706731,61285,212698,152407,87206,82726,22467,57,52833,26298,96140,8149,0.431,39.1,40721,55519,53866,51919,65668,49704,40458,41710,19399,34890,32175,44526,5.9,"Congressional District 11, Georgia (111th Congress)",13,11,Georgia,GA,GA-11
123,667044,343476,33.4,235465,349187,290925,6797,1553,586,3536,264,16346,637630,22160,167746,102030,89546,40729,25981,80,35825,19401,138525,2738,0.458,38.2,31833,44285,42922,42872,58863,53408,33350,32733,17633,28335,27207,40208,5.5,"Congressional District 12, Georgia (111th Congress)",13,12,Georgia,GA,GA-12
124,783583,403312,32.3,263227,279195,414917,25788,1389,2282,5722,1310,59405,674964,98473,223662,114096,72662,84965,22028,0,50764,27750,99919,4625,0.399,37.9,38303,51785,50611,50031,59967,53302,45226,47007,21117,34581,33974,42851,5.9,"Congressional District 13, Georgia (111th Congress)",13,13,Georgia,GA,GA-13
125,632102,312308,38.9,230621,129011,20348,326098,1629,966,12254,268,11875,471263,139184,129095,113622,47664,94188,14552,550,64861,30738,54120,11588,0.43,39.7,41834,55636,50726,54694,71973,56872,44306,52779,26086,35867,34878,47596,4.5,"Congressional District 1, Hawaii (111th Congress)",15,01,Hawaii,HI,HI-01
126,648139,320309,36.0,228633,215670,10647,167080,2152,580,26362,218,20488,556302,76344,160193,114063,43352,74572,19306,1136,64463,27966,63625,9646,0.423,39.6,39689,52807,48995,51941,62717,54179,44036,54725,28201,34067,33381,46257,5.0,"Congressional District 2, Hawaii (111th Congress)",15,02,Hawaii,HI,HI-02
127,586388,299238,38.3,215228,539781,23310,6601,1305,124,713,1,12333,568845,14922,139606,124492,40324,60357,17955,3,46902,24338,67396,4756,0.424,40.2,36197,47054,44941,45378,68794,50843,33167,50376,20412,31843,29759,40562,5.9,"Congressional District 1, Iowa (111th Congress)",19,01,Iowa,IA,IA-01
128,607054,307976,36.3,227378,560016,15161,12633,1214,348,1121,45,17616,579644,24271,139875,123848,38090,71038,18399,13,47371,24800,77591,5873,0.436,38.7,38611,50723,46055,49987,64567,50710,38750,50967,19530,32420,30766,43089,5.7,"Congressional District 2, Iowa (111th Congress)",19,02,Iowa,IA,IA-02
129,625890,318757,36.4,226963,564427,22285,14151,2448,257,651,73,24011,590691,32334,155929,133557,39680,83774,16928,9,53241,28519,57768,7331,0.424,39.4,40587,52222,49819,50248,62536,55951,43186,53003,20512,34828,32676,42248,5.7,"Congressional District 3, Iowa (111th Congress)",19,03,Iowa,IA,IA-03
130,591222,297257,38.5,224207,560476,6205,8216,1484,130,619,66,17003,567919,21151,135773,130183,36567,61853,20263,3,47496,23973,64161,5212,0.427,40.2,36894,47217,48683,45335,55831,45710,35642,45506,19089,32775,31057,41565,6.0,"Congressional District 4, Iowa (111th Congress)",19,04,Iowa,IA,IA-04
131,568326,287909,40.3,208819,535128,5142,5491,2953,307,507,31,25188,546070,19989,138728,127205,47286,50448,17864,53,45287,23552,60006,3679,0.412,41.7,34495,43809,44278,43069,52465,47604,33994,44889,17031,31072,29039,39333,6.0,"Congressional District 5, Iowa (111th Congress)",19,05,Iowa,IA,IA-05
132,796863,397644,35.6,288097,736420,4694,8835,7955,405,1408,37,61348,748880,40772,214888,171938,62139,82253,24001,13,47666,23095,98982,6067,0.423,39.4,36523,50223,48561,48556,64313,51510,38733,44663,18375,31419,29305,39008,5.8,"Congressional District 1, Idaho (111th Congress)",16,01,Idaho,ID,ID-01
133,695710,345812,32.0,248577,638045,4336,7904,10397,276,956,94,69503,644306,45696,191614,143177,51828,69648,22197,120,44675,21938,97139,5116,0.43,37.2,34339,48459,44800,47851,67361,56282,34900,37579,16621,28974,27068,41554,5.7,"Congressional District 2, Idaho (111th Congress)",16,02,Idaho,ID,ID-02
134,626260,337052,34.9,204053,181162,405910,9610,739,307,2574,52,38015,584314,39213,164961,71985,68995,50776,20296,0,41177,22287,137828,3929,0.474,39.6,40728,53023,49501,49944,70806,49022,52746,64818,22546,35913,35380,44606,5.4,"Congressional District 1, Illinois (111th Congress)",17,01,Illinois,IL,IL-01
135,626246,337013,34.8,200719,149439,426739,3635,497,330,4775,50,66198,581721,41551,177374,80678,62901,52920,20199,0,45710,24607,120214,2942,0.439,40.1,40696,52746,53565,48964,62236,55673,41597,61312,20189,37500,37773,42705,5.6,"Congressional District 2, Illinois (111th Congress)",17,02,Illinois,IL,IL-02
136,644780,327306,35.7,229601,451856,44381,21116,1409,801,10035,197,174380,498533,139981,169334,114413,81215,61835,17961,12,55884,28111,67131,7765,0.431,39.9,43066,59243,55180,56843,62851,57128,45426,71443,20036,38256,37057,48315,5.5,"Congressional District 3, Illinois (111th Congress)",17,03,Illinois,IL,IL-03
137,617799,298005,29.3,227771,271261,31815,15206,1869,1753,56489,1412,346210,365952,229097,178520,82744,136324,52659,17724,0,42837,21414,132858,4626,0.455,34.4,30674,52641,56169,49703,56780,51458,43308,62126,20881,31477,29794,44474,5.0,"Congressional District 4, Illinois (111th Congress)",17,04,Illinois,IL,IL-04
138,677774,343796,34.3,264613,484300,20324,45106,1748,4498,32404,893,111533,473739,189304,138130,109898,74126,117453,14765,0,59685,31093,71167,17650,0.474,36.2,45630,62290,64115,57524,64153,52069,47104,68520,22269,41056,36606,45296,4.9,"Congressional District 5, Illinois (111th Congress)",17,05,Illinois,IL,IL-05
139,651995,328187,36.6,239984,512369,22181,64251,1549,1994,6548,211,87945,502722,142568,164134,135176,48473,103488,18609,9,71147,33109,39857,13888,0.412,40.5,49643,68276,61711,65201,72226,65750,54430,72653,20770,42220,38493,52726,6.0,"Congressional District 6, Illinois (111th Congress)",17,06,Illinois,IL,IL-06
140,632699,328209,33.6,230816,221097,339457,34295,964,1009,9710,738,34845,561383,65240,142384,74281,71397,88067,17793,0,51026,28160,136449,20375,0.568,36.8,50545,70007,69414,62918,67880,59622,63279,65867,20670,42171,36961,49649,4.6,"Congressional District 7, Illinois (111th Congress)",17,07,Illinois,IL,IL-07
141,713765,359059,36.0,255889,577809,26897,52882,940,1585,6158,197,90147,586081,121316,192748,147746,47883,106716,21048,0,73943,34902,45369,15763,0.413,40.8,51140,68433,63960,64315,78182,68101,50625,66120,22063,42530,38330,46509,6.1,"Congressional District 8, Illinois (111th Congress)",17,08,Illinois,IL,IL-08
142,628689,319135,38.1,244153,428369,64932,84433,1391,2215,6571,512,47488,430090,190819,126476,109448,51937,112531,16438,3,55973,29724,73720,13584,0.477,39.4,47577,64277,63065,61483,66759,59536,51293,71189,22428,40493,37462,50818,4.9,"Congressional District 9, Illinois (111th Congress)",17,09,Illinois,IL,IL-09
143,662399,334163,38.9,231353,527692,31778,50938,598,976,5223,256,79318,516663,139278,175876,142214,41719,124455,21763,2650,83225,35841,36494,36054,0.507,42.7,57638,83892,78432,76004,79957,85138,57518,67212,24122,46733,40068,51763,6.4,"Congressional District 10, Illinois (111th Congress)",17,10,Illinois,IL,IL-10
144,758399,383922,35.3,273669,644502,63279,8552,846,361,3325,94,67282,709739,45017,198402,147827,57398,66381,24408,26,58246,26717,76813,6517,0.401,39.2,43907,57272,55106,52841,67258,54162,43606,59375,19076,35574,32854,43987,5.9,"Congressional District 11, Illinois (111th Congress)",17,11,Illinois,IL,IL-11
145,657897,336491,37.0,237956,524826,109156,6750,1905,240,1929,48,10522,637897,14314,156256,121708,62581,54625,19868,91,41975,23036,106926,3636,0.441,39.6,37979,50089,50557,49027,64207,52256,41790,51868,19122,31879,31074,42420,5.4,"Congressional District 12, Illinois (111th Congress)",17,12,Illinois,IL,IL-12
146,756604,381399,36.6,269218,603130,46550,64929,1202,937,6355,249,54679,637981,112630,205104,163521,33884,135123,22542,0,81730,37816,31943,25730,0.432,41.1,57179,75612,68970,70098,77516,74831,51327,69957,22812,45458,38716,53201,6.6,"Congressional District 13, Illinois (111th Congress)",17,13,Illinois,IL,IL-13
147,799359,395347,33.5,287365,644685,40115,23161,1217,1790,8088,181,156376,678323,114508,225594,155783,72208,95999,25323,8,66319,29188,69928,12531,0.412,39.1,45730,63627,58015,58549,69904,64671,43867,65184,19927,41346,36277,46531,6.2,"Congressional District 14, Illinois (111th Congress)",17,14,Illinois,IL,IL-14
148,665063,334328,35.7,255712,583300,42335,20760,1135,418,1618,112,14817,633373,28518,146136,132866,46636,65311,26653,10,45393,22922,93501,5709,0.448,37.9,38719,51119,51148,49609,61129,45326,37093,48612,18171,32103,30428,43996,5.7,"Congressional District 15, Illinois (111th Congress)",17,15,Illinois,IL,IL-15
149,722030,363775,37.8,261181,632466,41691,14630,1518,897,4455,75,55730,663823,54542,189025,148055,60505,74673,21245,21,56323,27045,74056,8689,0.428,41.3,42955,58108,54057,54197,68377,58895,43911,60115,20690,36494,32639,44282,6.1,"Congressional District 16, Illinois (111th Congress)",17,16,Illinois,IL,IL-16
150,628803,320754,39.4,235426,549810,48230,6099,1440,163,1646,52,23902,608331,18025,140989,123741,61945,48579,18615,95,40454,21436,93897,3693,0.437,40.0,35025,45986,49206,43430,62243,48007,34589,50507,16289,29513,28643,39316,5.5,"Congressional District 17, Illinois (111th Congress)",17,17,Illinois,IL,IL-17
151,654548,333039,39.3,243820,583516,46690,7785,835,173,1258,87,11401,636215,15735,151016,136834,49097,70919,18070,13,50782,26419,67407,6541,0.432,40.6,40630,52819,50706,51007,68082,57547,41686,53350,20056,32860,31016,38952,5.8,"Congressional District 18, Illinois (111th Congress)",17,18,Illinois,IL,IL-18
152,659934,332725,39.9,248780,619265,23307,4590,1406,170,707,49,7270,646083,10871,150661,145116,57950,60090,19153,24,47650,24768,73614,5099,0.428,40.9,38504,49606,49859,47831,63547,54422,39339,52141,18407,32506,30918,41053,5.7,"Congressional District 19, Illinois (111th Congress)",17,19,Illinois,IL,IL-19
153,694959,358272,37.1,244466,500943,129448,7970,1871,649,11729,83,65756,652058,37257,180696,128994,60754,57493,20592,0,50736,25283,98425,5214,0.424,40.8,42301,53459,50867,51790,70305,54940,40052,46763,18983,33003,31682,40844,5.6,"Congressional District 1, Indiana (111th Congress)",18,01,Indiana,IN,IN-01
154,679261,343611,36.6,247127,576067,56424,7453,2553,724,2752,262,39385,640696,34958,172015,131790,72027,52454,20202,4,44438,23405,90991,4303,0.425,40.0,36364,48826,46365,45919,58775,42826,39122,42299,18355,31463,29806,43919,5.7,"Congressional District 2, Indiana (111th Congress)",18,02,Indiana,IN,IN-02
155,710421,358172,35.4,253076,620648,40821,9812,1611,197,2592,117,35994,672464,34477,193331,147082,69981,63992,20441,0,48729,26098,77338,5248,0.412,40.0,37933,50046,45576,48550,60904,49773,35591,45698,20042,32662,30513,41812,6.0,"Congressional District 3, Indiana (111th Congress)",18,03,Indiana,IN,IN-03
156,765058,384415,35.3,282724,707874,21583,15203,1489,544,1628,281,23335,726843,34021,190860,163281,54431,77087,25962,0,53944,26242,79733,7959,0.425,38.9,41300,55362,50468,53639,67626,59896,39100,41534,21657,34391,31709,44924,5.9,"Congressional District 4, Indiana (111th Congress)",18,04,Indiana,IN,IN-04
157,772537,391317,37.1,277142,706210,29814,15744,1922,172,1676,130,14541,736817,30628,201040,171455,44875,115708,21655,0,61207,30561,59838,14086,0.438,40.7,46230,62792,57926,58941,73533,69077,47564,43768,18795,38144,32925,45946,6.3,"Congressional District 5, Indiana (111th Congress)",18,05,Indiana,IN,IN-05
158,672741,341219,38.5,249315,624825,24643,4928,1157,259,882,104,10810,657702,12790,159928,140307,67721,45982,20509,42,43754,22898,87956,3616,0.418,40.3,36255,47581,44515,46262,60787,50139,33887,36875,18678,30840,29295,40396,5.7,"Congressional District 6, Indiana (111th Congress)",18,06,Indiana,IN,IN-06
159,665703,344442,33.2,233889,408181,202067,9759,1154,643,2315,251,41308,614189,47393,170582,91038,80867,65502,17658,0,38654,22938,130094,3776,0.448,37.1,35433,48944,45515,48383,60107,51498,42852,39651,19495,32367,31226,39946,5.3,"Congressional District 7, Indiana (111th Congress)",18,07,Indiana,IN,IN-07
160,679981,344287,38.2,254623,633373,26370,5359,1438,64,803,126,6413,665130,12070,156458,141100,66673,49624,20345,47,43599,22590,91198,4320,0.432,40.1,36655,48661,45043,46934,60602,52217,33250,38706,18375,30538,28949,43635,5.5,"Congressional District 8, Indiana (111th Congress)",18,08,Indiana,IN,IN-08
161,701808,355932,36.8,262892,658032,17828,9242,1297,359,1191,48,10704,678606,18778,161618,143665,70939,50047,23077,0,44735,23672,94947,4132,0.423,39.0,36313,48339,45084,47296,58976,45470,39165,40634,18920,31723,30136,43992,5.5,"Congressional District 9, Indiana (111th Congress)",18,09,Indiana,IN,IN-09
162,647606,324927,38.7,238558,588603,13544,6759,3722,542,2079,38,72264,598336,44462,159346,140018,62279,56515,19948,49,42403,22427,78503,3627,0.415,40.8,31737,40277,40989,40357,48455,44065,30523,36632,16618,27964,26579,39355,5.8,"Congressional District 1, Kansas (111th Congress)",20,01,Kansas,KS,KS-01
163,692990,347846,35.9,253068,610790,33649,8992,7708,443,2406,54,25432,666203,19905,165431,142444,42738,71553,22924,345,44994,23330,93145,5099,0.433,38.8,35896,46527,45956,44767,53063,49167,39827,38943,15965,30375,29179,40294,5.7,"Congressional District 2, Kansas (111th Congress)",20,02,Kansas,KS,KS-02
164,747087,379193,34.2,270143,613378,63805,25297,4730,603,1285,50,55299,678817,62623,190144,147675,38544,133977,21657,11,61927,30487,72068,15277,0.448,38.4,46075,60634,55509,56404,67433,55885,50430,57781,21162,39108,34419,44154,6.1,"Congressional District 3, Kansas (111th Congress)",20,03,Kansas,KS,KS-03
165,690152,349308,35.7,245154,569636,46123,19187,6562,296,1207,63,51486,647019,38572,183528,140940,51192,75735,19854,32,47076,25552,85127,6089,0.434,39.6,38674,50609,50939,48339,70310,41875,38250,41148,18952,32130,30511,41676,5.7,"Congressional District 4, Kansas (111th Congress)",20,04,Kansas,KS,KS-04
166,685920,349713,38.6,247287,616252,48611,3701,1685,209,1752,84,10545,669513,11537,160722,146307,101492,37446,19054,432,36608,19571,120173,3040,0.445,39.5,32349,43075,43900,41954,52872,51162,29596,31415,15042,27319,26845,40347,5.5,"Congressional District 1, Kentucky (111th Congress)",21,01,Kentucky,KY,KY-01
167,729948,371077,37.0,260462,662686,42468,6214,1771,535,2008,189,12039,704575,18997,180082,153444,88637,45592,21809,973,43545,22268,110020,3893,0.432,39.5,35292,45932,42880,44918,56499,48365,36618,43423,17377,29055,27652,42772,5.6,"Congressional District 2, Kentucky (111th Congress)",21,02,Kentucky,KY,KY-02
168,692485,359890,37.5,248144,520365,137884,13074,1100,4026,1950,132,11259,651543,35797,163568,123618,62212,81127,17878,48,45577,25748,98040,8679,0.468,39.9,39080,52377,49952,50090,67019,46686,41721,49519,21136,33762,30921,43114,5.5,"Congressional District 3, Kentucky (111th Congress)",21,03,Kentucky,KY,KY-03
169,725286,366193,37.4,266077,683859,20130,5617,1001,351,1647,23,8416,707088,14535,180294,151386,80272,65716,20232,47,49549,24981,93344,7132,0.442,40.0,40135,52520,49058,49460,66087,58056,38848,44640,18757,34169,31834,40848,5.9,"Congressional District 4, Kentucky (111th Congress)",21,04,Kentucky,KY,KY-04
170,677324,343105,38.2,252206,655674,9155,2481,1322,74,561,14,3977,670398,5142,157123,135992,146588,27450,19575,0,27884,15062,178818,2312,0.486,38.6,31247,42532,42036,42105,46250,43074,33300,33800,13765,25325,25012,42436,5.4,"Congressional District 5, Kentucky (111th Congress)",21,05,Kentucky,KY,KY-05
171,741037,377980,35.5,276331,644663,60726,11809,1314,718,1260,379,19676,703717,32699,168647,142798,77472,79359,22134,24,44646,23009,119351,7082,0.463,37.8,37681,51054,46088,49888,66191,47394,40299,40434,17662,32150,31096,45144,5.5,"Congressional District 6, Kentucky (111th Congress)",21,06,Kentucky,KY,KY-06
172,666057,342625,38.5,240913,531134,102480,11977,1612,3281,2048,410,8686,624915,36675,156840,127552,62703,85616,17653,46,51240,25608,84518,10593,0.471,40.8,41847,55478,53499,53028,75980,61277,44341,45938,18352,34062,31036,42025,5.7,"Congressional District 1, Louisiana (111th Congress)",22,01,Louisiana,LA,LA-01
173,488985,257599,35.4,171424,160354,294337,17108,1962,1547,1314,888,6791,455729,30528,117680,57025,67560,40867,14347,12,36947,19077,108168,4214,0.5,39.4,33088,47640,45299,45982,61143,49397,38840,41664,18381,28353,27360,39791,5.2,"Congressional District 2, Louisiana (111th Congress)",22,02,Louisiana,LA,LA-02
174,626620,320649,35.3,218984,429416,166916,7090,10427,1178,1082,248,8369,609335,14882,168061,117072,97201,38178,19207,0,44717,21688,102541,4025,0.447,39.6,37028,48150,44734,44933,69918,53646,32243,37533,15320,29908,28777,38737,5.4,"Congressional District 3, Louisiana (111th Congress)",22,03,Louisiana,LA,LA-03
175,645389,330985,35.4,220140,400867,217247,6003,5251,531,2461,128,12138,625760,13013,164051,114367,73938,51180,19448,647,38653,21046,122583,4697,0.475,38.7,33961,46378,44646,44103,67568,53750,31263,36821,16278,27976,27211,38080,5.3,"Congressional District 4, Louisiana (111th Congress)",22,04,Louisiana,LA,LA-04
176,635373,324853,35.5,226656,402239,217132,3614,2514,283,643,0,7584,624493,8639,161339,111573,91670,46231,21055,17,35459,18655,136903,3522,0.481,39.2,32277,43454,42491,41447,57952,50053,28902,32741,15105,27026,26186,37385,5.3,"Congressional District 5, Louisiana (111th Congress)",22,05,Louisiana,LA,LA-05
177,692413,351912,33.3,251183,429039,239247,11577,1461,1524,876,175,8091,667251,21914,173489,119480,63970,71328,23601,13,47158,23672,112567,7930,0.469,37.6,40196,52362,49114,50290,74301,59324,47442,41054,17566,31965,29757,40907,5.4,"Congressional District 6, Louisiana (111th Congress)",22,06,Louisiana,LA,LA-06
178,656709,337924,34.7,230145,468907,168280,5935,1682,748,1127,204,7044,641188,12233,172906,120746,90809,55088,19329,19,40892,21047,122354,6217,0.479,38.3,35717,45995,44742,43249,67665,52805,34507,37760,17571,27989,26327,37034,5.3,"Congressional District 7, Louisiana (111th Congress)",22,07,Louisiana,LA,LA-07
179,647075,330267,39.7,243286,596443,13602,13373,1361,584,31810,1998,2419,585811,41685,141215,121617,48953,73252,22502,29,54241,25864,72959,6797,0.436,41.1,44168,57054,53950,55496,66465,62569,47537,64381,24800,38342,36676,49855,5.7,"Congressional District 1, Massachusetts (111th Congress)",25,01,Massachusetts,MA,MA-01
180,661248,344917,38.7,236003,552699,40616,11490,994,861,63990,3317,2659,579385,49991,159065,119055,62084,73767,18522,35,56940,27425,76344,8367,0.436,41.2,46645,61018,56220,58472,68298,61402,50273,63488,24564,40425,37166,49903,5.6,"Congressional District 2, Massachusetts (111th Congress)",25,02,Massachusetts,MA,MA-02
181,660009,335040,38.3,241492,578426,23057,30742,778,634,26872,6075,3982,556721,87588,159412,126496,57450,97389,21173,37,64860,30642,59745,14262,0.446,40.9,51189,69508,65459,65702,82487,63980,55299,66765,26421,43144,38403,52556,5.8,"Congressional District 3, Massachusetts (111th Congress)",25,03,Massachusetts,MA,MA-03
