,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,CD_ID
41,658515,324411,32.3,250591,468797,14461,36767,9528,433,1928,95,276545,486954,164770,156864,106093,90317,64909,25668,190,55583,22908,101532,11086,0.468,36.2,38575,61272,51302,61731,75898,60646,49275,79785,20415,35946,34476,51827,5.0,"Congressional District 23, California (111th Congress)",06,23,California,CA,CA-23
42,664762,333821,38.3,240871,496997,10117,38310,4574,1056,1777,144,152682,546287,111714,171356,134500,52380,92091,20439,53,78978,33469,45339,20217,0.43,42.2,54158,78115,63799,74206,87383,86264,69850,93032,21414,44146,39887,55007,5.9,"Congressional District 24, California (111th Congress)",06,24,California,CA,CA-24
43,784227,386239,31.9,267671,492712,74922,42040,8535,3018,4896,608,220301,628728,147584,245263,132930,88486,66386,29071,74,61882,26725,111900,10716,0.428,39.6,46195,67016,63580,65166,79086,71130,66453,86561,19527,38043,37561,56291,5.7,"Congressional District 25, California (111th Congress)",06,25,California,CA,CA-25
44,698814,357563,37.0,250230,416756,31593,123151,5603,2756,3750,82,160161,524815,166742,177040,131883,49620,100588,23735,21,76321,33298,44666,20170,0.445,41.3,52836,72869,59554,71670,84207,75921,58129,82500,24043,42484,38843,59631,5.7,"Congressional District 26, California (111th Congress)",06,26,California,CA,CA-26
45,671793,336507,35.5,249004,373721,29239,83141,2852,3633,2846,138,188403,410835,254868,164009,106302,87542,91598,18726,0,59118,27040,79620,10498,0.44,39.3,41343,62123,58477,62433,77644,64732,59271,74438,21061,37893,37103,53038,4.9,"Congressional District 27, California (111th Congress)",06,27,California,CA,CA-27
46,654464,326814,32.7,240840,359818,22285,44265,3087,1940,2493,162,276706,372102,276789,172116,90415,123994,75826,17912,0,51878,23533,109758,13565,0.509,37.4,34493,60530,56984,58333,55362,64811,60567,63869,21795,34030,32508,48965,4.4,"Congressional District 28, California (111th Congress)",06,28,California,CA,CA-28
47,654991,339207,38.7,246132,355318,35663,172631,2227,3326,1607,129,120895,366707,282632,135812,114314,77920,112638,15955,18,58345,27242,76225,15430,0.478,40.4,44849,65161,59711,65036,80949,65514,62192,85673,21561,37518,36196,52050,4.4,"Congressional District 29, California (111th Congress)",06,29,California,CA,CA-29
48,659647,338528,39.7,261336,523812,20249,65753,1714,2351,2308,174,34995,484475,166364,117169,115303,25807,164227,14407,8,79917,42205,56060,47628,0.55,39.8,67264,81914,76364,78624,82809,73690,66667,74524,27641,49177,42598,60887,4.7,"Congressional District 30, California (111th Congress)",06,30,California,CA,CA-30
49,634732,307175,31.8,240010,253729,27234,90242,4008,2652,2364,136,281341,303072,326564,168010,74632,161120,55350,18893,0,35701,17201,159059,3021,0.464,36.4,24820,48644,48185,48730,57773,50921,46604,66012,17640,27267,29632,44371,3.5,"Congressional District 31, California (111th Congress)",06,31,California,CA,CA-31
50,649609,327695,32.6,230649,261145,16009,133550,4333,2017,2329,225,364401,373754,271467,179102,94352,134754,48350,21548,0,51591,21030,95625,3104,0.409,38.0,33172,51596,51698,51229,59375,46181,41352,71556,18845,33255,33487,46648,4.9,"Congressional District 32, California (111th Congress)",06,32,California,CA,CA-32
51,644546,330694,34.0,242738,228134,173333,81211,2570,1822,1953,297,134157,404465,234220,140293,78397,97094,93922,17879,0,42563,22927,124756,10365,0.511,37.1,36662,57685,55746,57643,74369,51893,56609,64452,21278,34876,35262,50653,3.9,"Congressional District 33, California (111th Congress)",06,33,California,CA,CA-33
52,640367,309542,29.7,228928,320056,28912,37659,4989,5095,2994,363,421861,350455,284915,196284,79805,168809,29823,22308,22,37210,17957,149663,2106,0.453,35.9,27266,48274,44247,49352,61310,57056,44253,62500,18458,29077,29894,39183,4.0,"Congressional District 34, California (111th Congress)",06,34,California,CA,CA-34
53,661309,337169,30.2,221031,233398,196550,36533,1939,2319,3729,628,260805,438508,218365,199509,78210,126102,43832,21312,0,41710,20878,144420,4135,0.459,37.1,31591,53571,53207,52242,81875,57880,49635,71467,21000,33158,34057,43870,4.4,"Congressional District 35, California (111th Congress)",06,35,California,CA,CA-35
54,656291,330495,36.4,248572,408274,28447,99419,3739,3276,3160,349,166720,467588,180957,149733,108973,62598,125178,14938,16,68297,34781,70989,23150,0.474,39.4,53364,73864,69231,71338,85103,64896,61602,85329,20249,43422,41096,51187,4.5,"Congressional District 36, California (111th Congress)",06,36,California,CA,CA-36
55,646013,330256,30.1,215938,221454,147536,78001,3399,1445,4195,87,262275,439522,198702,197069,78039,109163,50869,21451,46,45848,21750,132886,4211,0.443,36.8,34737,54773,54306,53433,66047,58618,49107,58173,18853,33991,33179,51245,4.4,"Congressional District 37, California (111th Congress)",06,37,California,CA,CA-37
